Time,eduroam-affiliate,eduroam-authenticated,eduroam-external,eduroam-staff,eduroam-student-other,eduroam-student-research-postgrad,eduroam-student-taught-postgrad,eduroam-student-undergrad,eduroam-visitor,total,Eduroam
15/04/2022 00:00,0,0,0,1,0,0,0,1,0,2,2.75
15/04/2022 00:10,0,1,0,1,0,0,0,1,0,3,2.75
15/04/2022 00:20,0,1,0,1,0,0,0,1,0,3,2.75
15/04/2022 00:30,0,1,0,1,0,0,0,1,0,3,2.75
15/04/2022 00:40,0,1,0,1,0,0,0,1,0,3,3
15/04/2022 00:50,0,1,0,1,0,0,0,1,0,3,3
15/04/2022 01:00,0,1,0,1,0,0,0,1,0,3,3
15/04/2022 01:10,0,1,0,1,0,0,0,1,0,3,3
15/04/2022 01:20,0,1,0,1,0,0,0,1,0,3,3
15/04/2022 01:30,0,1,0,1,0,0,0,1,0,3,3
15/04/2022 01:40,0,1,0,1,0,0,0,1,0,3,3
15/04/2022 01:50,0,1,0,1,0,0,0,1,0,3,3
15/04/2022 02:00,0,1,0,1,0,0,0,1,0,3,3
15/04/2022 02:10,0,1,0,1,0,0,0,1,0,3,3
15/04/2022 02:20,0,1,0,1,0,0,0,1,0,3,3
15/04/2022 02:30,0,1,0,1,0,0,0,1,0,3,3
15/04/2022 02:40,0,1,0,1,0,0,0,1,0,3,3
15/04/2022 02:50,0,0,0,1,0,0,0,1,0,2,2.75
15/04/2022 03:00,0,1,0,1,0,0,0,1,0,3,2.75
15/04/2022 03:10,0,1,0,1,0,0,0,1,0,3,2.75
15/04/2022 03:20,0,1,0,1,0,0,0,1,0,3,2.75
15/04/2022 03:30,0,0,0,1,0,0,0,1,0,2,2.75
15/04/2022 03:40,0,1,0,1,0,0,0,1,0,3,2.75
15/04/2022 03:50,0,1,0,1,0,0,0,0,0,2,2.5
15/04/2022 04:00,0,1,0,1,0,0,0,0,0,2,2.25
15/04/2022 04:10,0,1,0,1,0,0,0,0,0,2,2.25
15/04/2022 04:20,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 04:30,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 04:40,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 04:50,0,0,0,1,0,0,0,0,0,1,1.75
15/04/2022 05:00,0,1,0,1,0,0,0,0,0,2,1.75
15/04/2022 05:10,0,1,,1,0,0,0,0,0,2,1.75
15/04/2022 05:20,0,1,0,1,0,0,0,0,0,2,1.75
15/04/2022 05:30,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 05:40,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 05:50,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 06:00,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 06:10,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 06:20,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 06:30,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 06:40,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 06:50,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 07:00,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 07:10,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 07:20,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 07:30,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 07:40,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 07:50,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 08:00,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 08:10,0,1,0,1,0,0,0,0,0,2,2
15/04/2022 08:20,0,0,0,1,0,0,0,0,0,1,1.75
15/04/2022 08:30,0,1,0,1,0,0,0,0,0,2,1.75
15/04/2022 08:40,0,1,0,1,0,0,0,0,0,2,1.75
15/04/2022 08:50,0,1,0,1,0,0,0,0,0,2,1.75
15/04/2022 09:00,0,0,0,1,0,0,0,0,0,1,1.75
