Time,Quads Limetree Bar,Bar,Quads LImetree Central Column,CentralColumn,Quads LImetree Salad Bar,SaladBar,Quads Limetree Hot Food Counter,HotCounter,Quads Limetree Pizza Counter,PizzaCounter,Mean,MovingAve5,MovingAve20,CO2Average,MovingAve500
13/04/2022 08:00,358 ppm,358,365 ppm,365,365 ppm,365,363 ppm,363,364 ppm,364,363,365,384,392,392
13/04/2022 08:02,360 ppm,360,365 ppm,365,361 ppm,361,363 ppm,363,368 ppm,368,363,366,383,391,392
13/04/2022 08:04,362 ppm,362,356 ppm,356,378 ppm,378,364 ppm,364,363 ppm,363,365,365,381,391,392
13/04/2022 08:06,365 ppm,365,372 ppm,372,382 ppm,382,365 ppm,365,365 ppm,365,370,366,380,390,392
13/04/2022 08:08,363 ppm,363,361 ppm,361,359 ppm,359,365 ppm,365,363 ppm,363,362,365,378,390,392
13/04/2022 08:10,366 ppm,366,363 ppm,363,365 ppm,365,365 ppm,365,362 ppm,362,364,365,377,389,392
13/04/2022 08:12,367 ppm,367,357 ppm,357,360 ppm,360,367 ppm,367,360 ppm,360,362,365,375,389,392
13/04/2022 08:14,365 ppm,365,358 ppm,358,359 ppm,359,364 ppm,364,375 ppm,375,364,365,373,388,392
13/04/2022 08:16,367 ppm,367,360 ppm,360,364 ppm,364,367 ppm,367,373 ppm,373,366,364,372,387,392
13/04/2022 08:18,358 ppm,358,366 ppm,366,357 ppm,357,364 ppm,364,383 ppm,383,366,364,370,387,392
13/04/2022 08:20,358 ppm,358,361 ppm,361,368 ppm,368,364 ppm,364,356 ppm,356,361,364,369,386,392
13/04/2022 08:22,357 ppm,357,365 ppm,365,370 ppm,370,364 ppm,364,362 ppm,362,364,364,367,385,392
13/04/2022 08:24,364 ppm,364,365 ppm,365,367 ppm,367,362 ppm,362,363 ppm,363,364,364,366,385,392
13/04/2022 08:26,366 ppm,366,359 ppm,359,363 ppm,363,364 ppm,364,880 ppm,880,466,384,369,386,392
13/04/2022 08:28,361 ppm,361,364 ppm,364,384 ppm,384,358 ppm,358,870 ppm,870,467,405,375,388,392
13/04/2022 08:30,365 ppm,365,366 ppm,366,367 ppm,367,361 ppm,361,831 ppm,831,458,424,379,389,392
13/04/2022 08:32,359 ppm,359,364 ppm,364,364 ppm,364,364 ppm,364,731 ppm,731,436,438,383,390,392
13/04/2022 08:34,362 ppm,362,359 ppm,359,374 ppm,374,363 ppm,363,489 ppm,489,389,444,384,389,392
13/04/2022 08:36,365 ppm,365,366 ppm,366,379 ppm,379,362 ppm,362,363 ppm,363,367,424,384,389,392
13/04/2022 08:38,366 ppm,366,359 ppm,359,370 ppm,370,368 ppm,368,370 ppm,370,367,403,384,388,392
13/04/2022 08:40,363 ppm,363,365 ppm,365,364 ppm,364,367 ppm,367,466 ppm,466,385,389,385,387,392
13/04/2022 08:42,359 ppm,359,363 ppm,363,381 ppm,381,365 ppm,365,367 ppm,367,367,375,386,387,392
13/04/2022 08:44,365 ppm,365,357 ppm,357,365 ppm,365,365 ppm,365,364 ppm,364,363,370,386,386,392
13/04/2022 08:46,357 ppm,357,364 ppm,364,360 ppm,360,360 ppm,360,364 ppm,364,361,369,385,385,392
13/04/2022 08:48,358 ppm,358,362 ppm,362,360 ppm,360,357 ppm,357,397 ppm,397,367,369,385,385,392
13/04/2022 08:50,360 ppm,360,360 ppm,360,368 ppm,368,359 ppm,359,361 ppm,361,362,364,385,384,392
13/04/2022 08:52,362 ppm,362,358 ppm,358,365 ppm,365,361 ppm,361,361 ppm,361,361,363,385,383,392
13/04/2022 08:54,363 ppm,363,359 ppm,359,359 ppm,359,363 ppm,363,366 ppm,366,362,363,385,382,392
13/04/2022 08:56,357 ppm,357,365 ppm,365,379 ppm,379,359 ppm,359,358 ppm,358,364,363,385,382,392
13/04/2022 08:58,365 ppm,365,385 ppm,385,380 ppm,380,362 ppm,362,361 ppm,361,371,364,385,381,392
13/04/2022 09:00,361 ppm,361,362 ppm,362,368 ppm,368,359 ppm,359,362 ppm,362,362,364,385,381,392
13/04/2022 09:02,363 ppm,363,360 ppm,360,367 ppm,367,364 ppm,364,364 ppm,364,364,364,385,380,392
13/04/2022 09:04,360 ppm,360,404 ppm,404,359 ppm,359,359 ppm,359,362 ppm,362,369,366,385,379,392
13/04/2022 09:06,359 ppm,359,372 ppm,372,364 ppm,364,358 ppm,358,364 ppm,364,363,366,380,379,392
13/04/2022 09:08,358 ppm,358,368 ppm,368,369 ppm,369,361 ppm,361,359 ppm,359,363,364,375,378,392
13/04/2022 09:10,361 ppm,361,383 ppm,383,366 ppm,366,367 ppm,367,367 ppm,367,369,366,371,378,392
13/04/2022 09:12,358 ppm,358,433 ppm,433,366 ppm,366,360 ppm,360,371 ppm,371,378,368,368,377,392
13/04/2022 09:14,366 ppm,366,426 ppm,426,357 ppm,357,359 ppm,359,360 ppm,360,374,369,367,377,392
13/04/2022 09:16,359 ppm,359,359 ppm,359,381 ppm,381,362 ppm,362,362 ppm,362,365,370,367,376,392
13/04/2022 09:18,359 ppm,359,362 ppm,362,361 ppm,361,356 ppm,356,364 ppm,364,360,369,366,376,392
13/04/2022 09:20,363 ppm,363,363 ppm,363,389 ppm,389,358 ppm,358,369 ppm,369,368,369,366,375,392
13/04/2022 09:22,362 ppm,362,366 ppm,366,390 ppm,390,359 ppm,359,365 ppm,365,368,367,366,374,392
13/04/2022 09:24,366 ppm,366,361 ppm,361,370 ppm,370,361 ppm,361,364 ppm,364,364,365,366,374,392
13/04/2022 09:26,360 ppm,360,359 ppm,359,364 ppm,364,361 ppm,361,367 ppm,367,362,365,366,373,392
13/04/2022 09:28,361 ppm,361,363 ppm,363,383 ppm,383,361 ppm,361,362 ppm,362,366,366,366,373,392
13/04/2022 09:30,367 ppm,367,366 ppm,366,360 ppm,360,359 ppm,359,365 ppm,365,363,365,366,373,392
13/04/2022 09:32,368 ppm,368,360 ppm,360,374 ppm,374,360 ppm,360,364 ppm,364,365,364,366,374,392
13/04/2022 09:34,361 ppm,361,360 ppm,360,374 ppm,374,360 ppm,360,364 ppm,364,364,364,366,373,392
13/04/2022 09:36,357 ppm,357,361 ppm,361,365 ppm,365,361 ppm,361,366 ppm,366,362,364,366,373,392
13/04/2022 09:38,366 ppm,366,366 ppm,366,366 ppm,366,367 ppm,367,364 ppm,364,366,364,366,373,392
13/04/2022 09:40,360 ppm,360,363 ppm,363,397 ppm,397,365 ppm,365,358 ppm,358,369,365,366,373,392
13/04/2022 09:42,360 ppm,360,363 ppm,363,400 ppm,400,357 ppm,357,363 ppm,363,369,366,366,373,391
13/04/2022 09:44,364 ppm,364,364 ppm,364,368 ppm,368,357 ppm,357,368 ppm,368,364,366,366,373,391
13/04/2022 09:46,363 ppm,363,366 ppm,366,381 ppm,381,366 ppm,366,368 ppm,368,369,367,366,373,391
13/04/2022 09:48,362 ppm,362,357 ppm,357,383 ppm,383,365 ppm,365,372 ppm,372,368,368,367,374,391
13/04/2022 09:50,362 ppm,362,357 ppm,357,400 ppm,400,365 ppm,365,363 ppm,363,369,368,367,374,391
13/04/2022 09:52,358 ppm,358,367 ppm,367,363 ppm,363,361 ppm,361,365 ppm,365,363,367,366,374,391
13/04/2022 09:54,360 ppm,360,361 ppm,361,384 ppm,384,368 ppm,368,370 ppm,370,369,367,366,374,391
13/04/2022 09:56,356 ppm,356,367 ppm,367,359 ppm,359,362 ppm,362,359 ppm,359,361,366,365,374,391
13/04/2022 09:58,360 ppm,360,366 ppm,366,384 ppm,384,362 ppm,362,361 ppm,361,367,366,366,374,391
13/04/2022 10:00,359 ppm,359,372 ppm,372,386 ppm,386,364 ppm,364,361 ppm,361,368,365,366,374,391
13/04/2022 10:02,363 ppm,363,386 ppm,386,385 ppm,385,366 ppm,366,398 ppm,398,380,369,366,374,391
13/04/2022 10:04,363 ppm,363,388 ppm,388,357 ppm,357,357 ppm,357,538 ppm,538,401,375,368,375,391
13/04/2022 10:06,357 ppm,357,365 ppm,365,368 ppm,368,361 ppm,361,528 ppm,528,396,382,370,373,391
13/04/2022 10:08,359 ppm,359,360 ppm,360,368 ppm,368,361 ppm,361,451 ppm,451,380,385,371,372,391
13/04/2022 10:10,362 ppm,362,356 ppm,356,372 ppm,372,364 ppm,364,392 ppm,392,369,385,371,370,391
13/04/2022 10:12,360 ppm,360,364 ppm,364,364 ppm,364,365 ppm,365,356 ppm,356,362,381,371,368,391
13/04/2022 10:14,360 ppm,360,364 ppm,364,365 ppm,365,362 ppm,362,364 ppm,364,363,374,371,368,391
13/04/2022 10:16,360 ppm,360,367 ppm,367,370 ppm,370,364 ppm,364,366 ppm,366,365,368,371,368,391
13/04/2022 10:18,367 ppm,367,356 ppm,356,373 ppm,373,363 ppm,363,363 ppm,363,364,365,371,368,391
13/04/2022 10:20,364 ppm,364,365 ppm,365,364 ppm,364,366 ppm,366,360 ppm,360,364,364,370,367,391
13/04/2022 10:22,359 ppm,359,364 ppm,364,360 ppm,360,367 ppm,367,365 ppm,365,363,364,370,367,391
13/04/2022 10:24,365 ppm,365,359 ppm,359,358 ppm,358,365 ppm,365,366 ppm,366,363,364,370,367,391
13/04/2022 10:26,358 ppm,358,365 ppm,365,365 ppm,365,365 ppm,365,367 ppm,367,364,364,370,367,391
13/04/2022 10:28,366 ppm,366,366 ppm,366,358 ppm,358,364 ppm,364,362 ppm,362,363,363,370,367,391
13/04/2022 10:30,366 ppm,366,366 ppm,366,358 ppm,358,364 ppm,364,362 ppm,362,363,363,369,367,391
