Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314
00:00:05,5,,,807,811,
00:00:10,10,,,805,808,
00:00:15,15,,,804,806,
00:00:20,20,,,802,805,
00:00:25,25,,,801,804,
00:00:30,30,,,801,803,
00:00:35,35,,,800,803,
00:00:40,40,,,801,802,
00:00:45,45,,,802,802,
00:00:50,50,,,802,802,
00:00:55,55,,,802,804,
00:01:00,60,,,802,804,
00:01:05,65,,,803,804,
00:01:10,70,,,803,804,
00:01:15,75,,,802,804,
00:01:20,80,,,802,804,
00:01:25,85,,,802,804,
00:01:30,90,,,803,804,
00:01:35,95,,,803,804,
00:01:40,100,,,804,804,
00:01:45,105,,,804,804,
00:01:50,110,,,804,804,
00:01:55,115,,,803,804,
00:02:00,120,,,804,804,
00:02:05,125,,,804,804,
00:02:10,130,,,804,803,
00:02:15,135,,,804,803,
00:02:20,140,,,804,803,
00:02:25,145,,,804,804,
00:02:30,150,,,804,805,
00:02:35,155,,,803,805,
00:02:40,160,,,803,808,
00:02:45,165,,,802,810,
00:02:50,170,,,801,812,
00:02:55,175,,,800,814,
00:03:00,180,,,800,815,
00:03:05,185,,,800,816,
00:03:10,190,,,800,817,
00:03:15,195,,,799,817,
