Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314,
00:00:05,5,1033,,840,,860,18:04
00:00:10,10,1034,,840,,860,"40 Readings taken 18:03:34 to 18:06:52, inside print room. "
00:00:15,15,1034,,841,,860,
00:00:20,20,1036,,842,,859,
00:00:25,25,1035,,841,,859,
00:00:30,30,1036,,841,,859,
00:00:35,35,1035,,840,,858,
00:00:40,40,1035,,839,,859,
00:00:45,45,1035,,839,,860,
00:00:50,50,1037,,839,,862,
00:00:55,55,1036,,839,,863,
00:01:00,60,1036,,839,,866,
00:01:05,65,1035,,839,,868,
00:01:10,70,1035,,840,,870,
00:01:15,75,1035,,840,,871,
00:01:20,80,1036,,841,,872,
00:01:25,85,1038,,842,,872,
00:01:30,90,1040,,843,,871,
00:01:35,95,1042,,844,,871,
00:01:40,100,1043,,847,,870,
00:01:45,105,1045,,847,,870,
00:01:50,110,1046,,847,,870,
00:01:55,115,1048,,848,,869,
00:02:00,120,1049,,847,,868,
00:02:05,125,1050,,848,,868,
00:02:10,130,1050,,847,,867,
00:02:15,135,1050,,847,,867,
00:02:20,140,1051,,847,,867,
00:02:25,145,1050,,848,,867,
00:02:30,150,1050,,849,,867,
00:02:35,155,1050,,849,,867,
00:02:40,160,1049,,849,,867,
00:02:45,165,1049,,850,,867,
00:02:50,170,1049,,851,,866,
00:02:55,175,1049,,851,,866,
00:03:00,180,1050,,852,,866,
00:03:05,185,1052,,851,,866,
00:03:10,190,1053,,852,,866,
00:03:15,195,1057,,852,,866,
