Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314,18:55,
00:00:05,5,1079,,10000,523,,40 Readings taken using outside air as baseline,
00:00:10,10,1079,,10000,584,,,
00:00:15,15,933,,10000,594,,Error found: alumninium window sills conducting across the board producing errors/,
00:00:20,20,1125,,10000,623,,,
00:00:25,25,976,,10000,628,,,306
00:00:30,30,1147,,10000,650,,,
00:00:35,35,1146,,10000,694,,,
00:00:40,40,1157,,10000,678,,,
00:00:45,45,1199,,10000,607,,,
00:00:50,50,1013,,10000,610,,,
00:00:55,55,1013,,10000,607,,,
00:01:00,60,1123,,10000,565,,,
00:01:05,65,1167,,10000,546,,,
00:01:10,70,1124,,10000,546,,,
00:01:15,75,1019,,10000,544,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,308:00:00
