Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314
00:00:05,5,631,,,501,
00:00:10,10,631,,,507,
00:00:15,15,630,,,505,
00:00:20,20,627,,,501,
00:00:25,25,622,,,498,
00:00:30,30,619,,,493,
00:00:35,35,624,,,491,
00:00:40,40,627,,,514,
00:00:45,45,630,,,538,
00:00:50,50,633,,,569,
00:00:55,55,643,,,597,
00:01:00,60,654,,,633,
00:01:05,65,663,,,674,
00:01:10,70,666,,,662,
00:01:15,75,664,,,641,
00:01:20,80,662,,,610,
00:01:25,85,655,,,584,
00:01:30,90,651,,,562,
00:01:35,95,644,,,540,
00:01:40,100,636,,,524,
00:01:45,105,633,,,512,
00:01:50,110,622,,,497,
00:01:55,115,616,,,491,
00:02:00,120,606,,,489,
00:02:05,125,607,,,485,
00:02:10,130,609,,,482,
00:02:15,135,610,,,539,
00:02:20,140,608,,,585,
00:02:25,145,607,,,599,
00:02:30,150,605,,,587,
00:02:35,155,605,,,571,
00:02:40,160,604,,,555,
00:02:45,165,604,,,536,
00:02:50,170,603,,,531,
00:02:55,175,603,,,521,
00:03:00,180,602,,,511,
00:03:05,185,601,,,505,
00:03:10,190,600,,,496,
00:03:15,195,599,,,491,
