Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314,
00:00:05,5,600,,,480,,Devices were now placed next to one another - and unfortuantely there remains a rather large chasm...
00:00:10,10,599,,,480,,print room 
00:00:15,15,600,,,480,,initial 
00:00:20,20,600,,,480,,
00:00:25,25,601,,,480,,
00:00:30,30,601,,,480,,
00:00:35,35,602,,,481,,
00:00:40,40,667,,,509,,
00:00:45,45,816,,,897,,
00:00:50,50,825,,,962,,
00:00:55,55,811,,,932,,
00:01:00,60,778,,,871,,
00:01:05,65,726,,,808,,
00:01:10,70,683,,,722,,
00:01:15,75,664,,,671,,
00:01:20,80,643,,,620,,
00:01:25,85,631,,,594,,
00:01:30,90,623,,,572,,
00:01:35,95,618,,,543,,
00:01:40,100,615,,,530,,
00:01:45,105,614,,,518,,
00:01:50,110,611,,,505,,
00:01:55,115,610,,,500,,
00:02:00,120,611,,,490,,
00:02:05,125,609,,,491,,
00:02:10,130,609,,,488,,
00:02:15,135,608,,,487,,
00:02:20,140,608,,,482,,
00:02:25,145,607,,,483,,
00:02:30,150,606,,,481,,
00:02:35,155,607,,,480,,
00:02:40,160,606,,,480,,
00:02:45,165,606,,,481,,
00:02:50,170,606,,,481,,
00:02:55,175,605,,,482,,
00:03:00,180,606,,,482,,
00:03:05,185,606,,,483,,
00:03:10,190,606,,,483,,
00:03:15,195,605,,,484,,
00:03:20,200,606,,,484,,
00:03:25,205,606,,,484,,
00:03:30,210,605,,,483,,
00:03:35,215,605,,,483,,
00:03:40,220,605,,,483,,
00:03:45,225,605,,,483,,
00:03:50,230,605,,,482,,
00:03:55,235,604,,,481,,
00:04:00,240,604,,,481,,
00:04:05,245,604,,,481,,
00:04:10,250,603,,,480,,
00:04:15,255,604,,,479,,
00:04:20,260,604,,,479,,
00:04:25,265,604,,,478,,
00:04:30,270,604,,,478,,
00:04:35,275,604,,,477,,
00:04:40,280,604,,,477,,
00:04:45,285,603,,,477,,
00:04:50,290,603,,,476,,
00:04:55,295,603,,,475,,
