Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314,,
00:00:05,5,609,,0,477,,302 and 308,"302 on left, 302 on right. "
00:00:10,10,607,,0,475,,,
00:00:15,15,603,,0,475,,,Significant variation even in just two sensors!
00:00:20,20,603,,0,474,,,next attempt (file 8) will see these swapped in location.
00:00:25,25,603,,0,474,,,
00:00:30,30,603,,0,473,,,
00:00:35,35,602,,0,476,,,
00:00:40,40,602,,0,558,,,
00:00:45,45,610,,0,639,,,
00:00:50,50,615,,0,703,,,
00:00:55,55,620,,0,718,,,
00:01:00,60,623,,0,699,,,
00:01:05,65,627,,0,667,,,
00:01:10,70,628,,0,623,,,
00:01:15,75,630,,0,595,,,
00:01:20,80,637,,,580,,,
00:01:25,85,645,,,560,,,
00:01:30,90,649,,,551,,,
00:01:35,95,651,,,534,,,
00:01:40,100,652,,,521,,,
00:01:45,105,653,,,512,,,
00:01:50,110,653,,,497,,,
00:01:55,115,653,,,492,,,
00:02:00,120,652,,,489,,,
00:02:05,125,652,,,483,,,
00:02:10,130,652,,,491,,,
00:02:15,135,653,,,505,,,
00:02:20,140,657,,,508,,,
00:02:25,145,656,,,510,,,
00:02:30,150,651,,,509,,,
00:02:35,155,649,,,504,,,
00:02:40,160,646,,,499,,,
00:02:45,165,642,,,496,,,
00:02:50,170,639,,,490,,,
00:02:55,175,634,,,488,,,
00:03:00,180,630,,,485,,,
00:03:05,185,625,,,479,,,
00:03:10,190,624,,,478,,,
00:03:15,195,623,,,476,,,
00:03:20,200,621,,,475,,,
00:03:25,205,618,,,474,,,
00:03:30,210,617,,,474,,,
00:03:35,215,614,,,473,,,
00:03:40,220,611,,,473,,,
00:03:45,225,609,,,473,,,
00:03:50,230,608,,,472,,,
00:03:55,235,607,,,472,,,
00:04:00,240,606,,,473,,,
00:04:05,245,604,,,472,,,
00:04:10,250,602,,,473,,,
00:04:15,255,602,,,478,,,
00:04:20,260,598,,,485,,,
00:04:25,265,598,,,491,,,
00:04:30,270,598,,,493,,,
00:04:35,275,598,,,494,,,
00:04:40,280,598,,,493,,,
00:04:45,285,598,,,492,,,
00:04:50,290,599,,,490,,,
00:04:55,295,607,,,489,,,
00:05:00,300,616,,,488,,,
00:05:05,305,628,,,487,,,
00:05:10,310,634,,,492,,,
00:05:15,315,639,,,505,,,
00:05:20,320,638,,,513,,,
00:05:25,325,635,,,520,,,
00:05:30,330,632,,,522,,,
00:05:35,335,629,,,521,,,
00:05:40,340,625,,,519,,,
00:05:45,345,623,,,516,,,
00:05:50,350,620,,,513,,,
00:05:55,355,618,,,510,,,
00:06:00,360,617,,,506,,,
00:06:05,365,614,,,502,,,
00:06:10,370,611,,,499,,,
00:06:15,375,608,,,494,,,
00:06:20,380,606,,,492,,,
00:06:25,385,604,,,490,,,
00:06:30,390,603,,,488,,,
00:06:35,395,599,,,486,,,
00:06:40,400,598,,,484,,,
00:06:45,405,596,,,482,,,
00:06:50,410,596,,,480,,,
00:06:55,415,597,,,479,,,
00:07:00,420,597,,,477,,,
00:07:05,425,597,,,476,,,
00:07:10,430,597,,,476,,,
00:07:15,435,596,,,475,,,
00:07:20,440,595,,,473,,,
00:07:25,445,595,,,473,,,
00:07:30,450,595,,,472,,,
00:07:35,455,596,,,472,,,
00:07:40,460,599,,,472,,,
00:07:45,465,600,,,472,,,
00:07:50,470,599,,,472,,,
00:07:55,475,600,,,472,,,
00:08:00,480,599,,,472,,,
00:08:05,485,600,,,472,,,
00:08:10,490,601,,,472,,,
00:08:15,495,601,,,472,,,
00:08:20,500,600,,,472,,,
00:08:25,505,601,,,473,,,
00:08:30,510,600,,,475,,,
00:08:35,515,600,,,475,,,
00:08:40,520,600,,,476,,,
00:08:45,525,600,,,476,,,
00:08:50,530,600,,,476,,,
00:08:55,535,600,,,476,,,
00:09:00,540,600,,,476,,,
00:09:05,545,600,,,476,,,
00:09:10,550,599,,,476,,,
00:09:15,555,600,,,476,,,
00:09:20,560,600,,,476,,,
00:09:25,565,600,,,476,,,
00:09:30,570,600,,,476,,,
00:09:35,575,599,,,476,,,
00:09:40,580,599,,,476,,,
00:09:45,585,599,,,476,,,
00:09:50,590,599,,,476,,,
00:09:55,595,598,,,474,,,
00:10:00,600,598,,,474,,,
00:10:05,605,600,,,474,,,
00:10:10,610,605,,,473,,,
00:10:15,615,615,,,474,,,
00:10:20,620,620,,,474,,,
00:10:25,625,624,,,474,,,
00:10:30,630,625,,,475,,,
00:10:35,635,625,,,474,,,
00:10:40,640,624,,,477,,,
00:10:45,645,624,,,484,,,
00:10:50,650,624,,,488,,,
00:10:55,655,624,,,491,,,
00:11:00,660,625,,,493,,,
00:11:05,665,623,,,493,,,
00:11:10,670,623,,,493,,,
00:11:15,675,621,,,491,,,
00:11:20,680,619,,,490,,,
00:11:25,685,617,,,489,,,
00:11:30,690,615,,,488,,,
00:11:35,695,614,,,486,,,
00:11:40,700,614,,,484,,,
00:11:45,705,616,,,483,,,
00:11:50,710,625,,,481,,,
00:11:55,715,630,,,480,,,
00:12:00,720,631,,,477,,,
00:12:05,725,631,,,475,,,
00:12:10,730,629,,,475,,,
00:12:15,735,628,,,474,,,
00:12:20,740,625,,,473,,,
00:12:25,745,623,,,473,,,
00:12:30,750,619,,,473,,,
00:12:35,755,617,,,473,,,
00:12:40,760,614,,,472,,,
00:12:45,765,613,,,472,,,
00:12:50,770,612,,,472,,,
00:12:55,775,611,,,472,,,
00:13:00,780,608,,,472,,,
00:13:05,785,607,,,472,,,
00:13:10,790,607,,,472,,,
00:13:15,795,606,,,472,,,
00:13:20,800,605,,,472,,,
00:13:25,805,605,,,472,,,
00:13:30,810,604,,,472,,,
00:13:35,815,603,,,472,,,
00:13:40,820,603,,,472,,,
00:13:45,825,603,,,472,,,
00:13:50,830,603,,,472,,,
00:13:55,835,605,,,472,,,
00:14:00,840,605,,,472,,,
00:14:05,845,606,,,472,,,
00:14:10,850,607,,,472,,,
00:14:15,855,606,,,472,,,
00:14:20,860,606,,,473,,,
00:14:25,865,606,,,473,,,
00:14:30,870,606,,,473,,,
00:14:35,875,605,,,476,,,
00:14:40,880,604,,,507,,,
00:14:45,885,603,,,610,,,
00:14:50,890,604,,,662,,,
00:14:55,895,602,,,659,,,
00:15:00,900,602,,,648,,,
00:15:05,905,601,,,658,,,
00:15:10,910,599,,,706,,,
00:15:15,915,595,,,702,,,
00:15:20,920,595,,,667,,,
00:15:25,925,595,,,637,,,
00:15:30,930,595,,,606,,,
00:15:35,935,595,,,574,,,
00:15:40,940,593,,,562,,,
00:15:45,945,593,,,555,,,
00:15:50,950,593,,,562,,,
00:15:55,955,594,,,603,,,
00:16:00,960,595,,,630,,,
00:16:05,965,595,,,636,,,
00:16:10,970,595,,,610,,,
00:16:15,975,596,,,599,,,
00:16:20,980,597,,,581,,,
00:16:25,985,598,,,565,,,
00:16:30,990,598,,,545,,,
00:16:35,995,599,,,521,,,
00:16:40,1000,610,,,511,,,
00:16:45,1005,616,,,504,,,
00:16:50,1010,619,,,494,,,
00:16:55,1015,620,,,487,,,
