Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314,,,,
00:00:05,5,1660,,,1485,1396,,302 in column A,308 column D,314 Column E
00:00:10,10,1653,,,1485,1396,,far over by window,mid positionied ,close to me on rhs
00:00:15,15,1650,,,1485,1396,,print room,,
00:00:20,20,1646,,,1485,1397,,,,
00:00:25,25,1647,,,1484,1396,,,,
00:00:30,30,1647,,,1484,1396,,,,
00:00:35,35,1648,,,1484,1396,,,,
00:00:40,40,1647,,,1484,1396,,,,
00:00:45,45,1646,,,1484,1396,,,,
00:00:50,50,1646,,,1483,1396,,,,
00:00:55,55,1647,,,1482,1396,,,,
00:01:00,60,1646,,,1481,1396,,,,
00:01:05,65,1647,,,1479,1396,,,,
00:01:10,70,1647,,,1477,1397,,,,
00:01:15,75,1647,,,1476,1397,,,,
00:01:20,80,1649,,,1474,1397,,,,
00:01:25,85,1649,,,1474,1399,,,,
00:01:30,90,1649,,,1474,1399,,,,
00:01:35,95,1649,,,1473,1399,,,,
00:01:40,100,1650,,,1473,1399,,,,
00:01:45,105,1651,,,1473,1396,,,,
00:01:50,110,1652,,,1473,1396,,,,
00:01:55,115,1651,,,1473,1396,,,,
00:02:00,120,1651,,,1473,1394,,,,
00:02:05,125,1649,,,1473,1393,,,,
00:02:10,130,1644,,,1472,1392,,,,
00:02:15,135,1641,,,1473,1391,,,,
00:02:20,140,1641,,,1473,1392,,,,
00:02:25,145,1643,,,1473,1392,,,,
00:02:30,150,1647,,,1473,1392,,,,
00:02:35,155,1647,,,1473,1393,,,,
00:02:40,160,1645,,,1474,1393,,,,
00:02:45,165,1645,,,1475,1396,,,,
00:02:50,170,1646,,,1476,1396,,,,
00:02:55,175,1647,,,1476,1397,,,,
00:03:00,180,1649,,,1476,1397,,,,
00:03:05,185,1650,,,1476,1393,,,,
00:03:10,190,1652,,,1476,1390,,,,
00:03:15,195,1655,,,1477,1389,,,,
00:03:20,200,1660,,,1477,1388,,,,
00:03:25,205,1661,,,1478,1390,,,,
00:03:30,210,1670,,,1479,1390,,,,
00:03:35,215,1672,,,1480,1391,,,,
00:03:40,220,1672,,,1480,1391,,,,
00:03:45,225,1672,,,1481,1390,,,,
00:03:50,230,1673,,,1482,1391,,,,
00:03:55,235,1673,,,1482,1391,,,,
00:04:00,240,1674,,,1482,1391,,,,
00:04:05,245,1676,,,1482,1390,,,,
00:04:10,250,1676,,,1483,1391,,,,
00:04:15,255,1676,,,1485,1391,,,,
00:04:20,260,1673,,,1486,1391,,,,
00:04:25,265,1673,,,1486,1391,,,,
00:04:30,270,1673,,,1487,1390,,,,
00:04:35,275,1672,,,1486,1390,,,,
00:04:40,280,1670,,,1485,1391,,,,
00:04:45,285,1668,,,1485,1390,,,,
00:04:50,290,1667,,,1485,1390,,,,
00:04:55,295,1668,,,1485,1390,,,,
00:05:00,300,1668,,,1484,1390,,,,
00:05:05,305,1669,,,1484,1390,,,,
00:05:10,310,1669,,,1483,1392,,,,
00:05:15,315,1666,,,1483,1392,,,,
00:05:20,320,1665,,,1483,1393,,,,
