Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314,,
00:00:05,5,1589,,,1440,1366,,"302,308,314 from lhs to rhs in room"
00:00:10,10,1572,,,1440,1366,,(print room)
00:00:15,15,1551,,,1442,1367,,
00:00:20,20,1481,,,1443,1369,,
00:00:25,25,1444,,,1444,1370,,
00:00:30,30,1427,,,1446,1370,,
00:00:35,35,1429,,,1447,1370,,
00:00:40,40,1435,,,1446,1370,,
00:00:45,45,1446,,,1447,1370,,
00:00:50,50,1465,,,1447,1369,,
00:00:55,55,1477,,,1447,1367,,
00:01:00,60,1482,,,1447,1366,,
00:01:05,65,1476,,,1447,1365,,
00:01:10,70,1466,,,1447,1363,,
00:01:15,75,1465,,,1447,1363,,
00:01:20,80,1462,,,1447,1361,,
00:01:25,85,1464,,,1447,1361,,
00:01:30,90,1466,,,1447,1359,,
00:01:35,95,1473,,,1447,1358,,
00:01:40,100,1486,,,1447,1356,,
00:01:45,105,1495,,,1446,1354,,
00:01:50,110,1504,,,1446,1351,,
00:01:55,115,1507,,,1445,1351,,
00:02:00,120,1510,,,1444,1350,,
00:02:05,125,1507,,,1443,1347,,
00:02:10,130,1498,,,1440,1346,,
00:02:15,135,1490,,,1438,1346,,
00:02:20,140,1485,,,1436,1344,,
00:02:25,145,1485,,,1436,1345,,
00:02:30,150,1478,,,1434,1348,,
00:02:35,155,1470,,,1432,1350,,
00:02:40,160,1458,,,1430,1356,,
00:02:45,165,1442,,,1429,1358,,
00:02:50,170,1414,,,1429,1359,,
00:02:55,175,1386,,,1428,1361,,
00:03:00,180,1382,,,1428,1363,,
00:03:05,185,1387,,,1427,1364,,
00:03:10,190,1394,,,1427,1360,,
00:03:15,195,1408,,,1427,1361,,
00:03:20,200,1421,,,1427,1362,,
00:03:25,205,1446,,,1427,1361,,
00:03:30,210,1461,,,1427,1360,,
00:03:35,215,1474,,,1428,1358,,
00:03:40,220,1477,,,1429,1359,,
00:03:45,225,1474,,,1429,1360,,
00:03:50,230,1475,,,1430,1359,,
00:03:55,235,1479,,,1430,1358,,
00:04:00,240,1484,,,1434,1358,,
00:04:05,245,1485,,,1436,1357,,
00:04:10,250,1483,,,1435,1356,,
00:04:15,255,1480,,,1435,1357,,
00:04:20,260,1476,,,1435,1358,,
00:04:25,265,1469,,,1436,1358,,
00:04:30,270,1469,,,1436,1357,,
00:04:35,275,1470,,,1436,1359,,
00:04:40,280,1474,,,1436,1359,,
00:04:45,285,1477,,,1436,1361,,
00:04:50,290,1485,,,1436,1360,,
00:04:55,295,1486,,,1436,1360,,
00:05:00,300,1487,,,1436,1360,,
00:05:05,305,1485,,,1437,1359,,
00:05:10,310,1487,,,1437,1359,,
00:05:15,315,1485,,,1437,1358,,
00:05:20,320,1486,,,1438,1356,,
00:05:25,325,1487,,,1438,1358,,
00:05:30,330,1480,,,1438,1360,,
00:05:35,335,1466,,,1438,1364,,
00:05:40,340,1460,,,1439,1369,,
00:05:45,345,1456,,,1441,1370,,
00:05:50,350,1460,,,1442,1372,,
00:05:55,355,1469,,,1445,1370,,
00:06:00,360,1477,,,1447,1369,,
00:06:05,365,1489,,,1449,1366,,
00:06:10,370,1497,,,1451,1364,,
00:06:15,375,1500,,,1453,1365,,
00:06:20,380,1499,,,1455,1365,,
00:06:25,385,1496,,,1456,1367,,
00:06:30,390,1495,,,1457,1367,,
00:06:35,395,1496,,,1460,1369,,
00:06:40,400,1502,,,1460,1369,,
00:06:45,405,1504,,,1460,1370,,
00:06:50,410,1504,,,1460,1370,,
00:06:55,415,1503,,,1460,1367,,
00:07:00,420,1501,,,1459,1367,,
00:07:05,425,1488,,,1458,1365,,
00:07:10,430,1473,,,1457,1366,,
00:07:15,435,1469,,,1454,1365,,
00:07:20,440,1465,,,1450,1362,,
00:07:25,445,1458,,,1448,1362,,
00:07:30,450,1455,,,1445,1362,,
00:07:35,455,1454,,,1438,1363,,
00:07:40,460,1457,,,1434,1361,,
00:07:45,465,1461,,,1432,1360,,
00:07:50,470,1463,,,1428,1358,,
00:07:55,475,1463,,,1427,1355,,
00:08:00,480,1462,,,1425,1352,,
00:08:05,485,1461,,,1422,1348,,
00:08:10,490,1461,,,1420,1345,,
00:08:15,495,1458,,,1418,1341,,
00:08:20,500,1458,,,1418,1339,,
00:08:25,505,1459,,,1416,1336,,
00:08:30,510,1461,,,1416,1336,,
00:08:35,515,1462,,,1417,1335,,
00:08:40,520,1462,,,1418,1334,,
00:08:45,525,1455,,,1417,1334,,
00:08:50,530,1444,,,1418,1333,,
00:08:55,535,1430,,,1419,1332,,
00:09:00,540,1422,,,1419,1331,,
00:09:05,545,1421,,,1419,1332,,
00:09:10,550,1426,,,1420,1333,,
00:09:15,555,1432,,,1420,1334,,
00:09:20,560,1432,,,1420,1333,,
00:09:25,565,1430,,,1419,1335,,
00:09:30,570,1431,,,1420,1336,,
00:09:35,575,1439,,,1419,1336,,
00:09:40,580,1448,,,1419,1337,,
00:09:45,585,1460,,,1418,1337,,
00:09:50,590,1466,,,1419,1334,,
00:09:55,595,1467,,,1419,1333,,
00:10:00,600,1468,,,1418,1334,,
00:10:05,605,1471,,,1418,1332,,
00:10:10,610,1472,,,1418,1335,,
00:10:15,615,1473,,,1416,1333,,
00:10:20,620,1475,,,1416,1330,,
00:10:25,625,1478,,,1415,1329,,
00:10:30,630,1478,,,1415,1328,,
00:10:35,635,1473,,,1415,1329,,
00:10:40,640,1470,,,1413,1327,,
00:10:45,645,1465,,,1413,1328,,
00:10:50,650,1462,,,1412,1326,,
00:10:55,655,1455,,,1412,1324,,
00:11:00,660,1452,,,1412,1323,,
00:11:05,665,1446,,,1412,1323,,
00:11:10,670,1441,,,1412,1322,,
00:11:15,675,1434,,,1410,1321,,
