Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314,,
00:00:05,5,689,,,556,505,,"at one point, david and josie blew on the sensors"
00:00:10,10,689,,,556,505,,in cad lab
00:00:15,15,689,,,555,505,,
00:00:20,20,689,,,555,505,,
00:00:25,25,689,,,555,505,,
00:00:30,30,688,,,555,505,,
00:00:35,35,689,,,555,505,,
00:00:40,40,689,,,555,505,,
00:00:45,45,688,,,555,505,,
00:00:50,50,688,,,555,505,,
00:00:55,55,688,,,555,506,,
00:01:00,60,688,,,555,506,,
00:01:05,65,688,,,555,506,,
00:01:10,70,687,,,555,506,,
00:01:15,75,688,,,555,506,,
00:01:20,80,687,,,555,506,,
00:01:25,85,687,,,555,506,,
00:01:30,90,688,,,554,505,,
00:01:35,95,688,,,554,505,,
00:01:40,100,688,,,554,504,,
00:01:45,105,688,,,554,504,,
00:01:50,110,688,,,554,504,,
00:01:55,115,688,,,554,504,,
00:02:00,120,689,,,554,504,,
00:02:05,125,689,,,554,504,,
00:02:10,130,689,,,554,504,,
00:02:15,135,689,,,554,504,,
00:02:20,140,689,,,554,504,,
00:02:25,145,689,,,555,504,,
00:02:30,150,689,,,555,504,,
00:02:35,155,689,,,555,504,,
00:02:40,160,689,,,555,504,,
00:02:45,165,688,,,555,504,,
00:02:50,170,688,,,555,504,,
00:02:55,175,688,,,554,505,,
00:03:00,180,689,,,554,505,,
00:03:05,185,688,,,554,504,,
00:03:10,190,688,,,554,504,,
00:03:15,195,688,,,554,504,,
00:03:20,200,688,,,553,504,,
00:03:25,205,687,,,553,504,,
00:03:30,210,688,,,553,504,,
00:03:35,215,688,,,553,503,,
00:03:40,220,688,,,553,503,,
00:03:45,225,688,,,553,503,,
00:03:50,230,688,,,553,503,,
00:03:55,235,688,,,553,503,,
00:04:00,240,689,,,553,504,,
00:04:05,245,688,,,553,504,,
00:04:10,250,688,,,553,504,,
00:04:15,255,688,,,554,504,,
00:04:20,260,688,,,553,504,,
00:04:25,265,687,,,553,504,,
00:04:30,270,687,,,553,504,,
00:04:35,275,687,,,552,504,,
00:04:40,280,688,,,552,504,,
00:04:45,285,687,,,552,504,,
00:04:50,290,687,,,552,504,,
00:04:55,295,687,,,552,504,,
00:05:00,300,687,,,552,504,,
00:05:05,305,687,,,552,504,,
00:05:10,310,687,,,552,504,,
00:05:15,315,687,,,552,504,,
00:05:20,320,688,,,552,504,,
00:05:25,325,688,,,552,504,,
00:05:30,330,687,,,552,504,,
00:05:35,335,687,,,552,504,,
00:05:40,340,687,,,552,504,,
00:05:45,345,686,,,552,504,,
00:05:50,350,686,,,552,504,,
00:05:55,355,686,,,552,504,,
00:06:00,360,686,,,552,504,,
00:06:05,365,685,,,552,504,,
00:06:10,370,685,,,552,504,,
00:06:15,375,685,,,552,504,,
00:06:20,380,685,,,552,504,,
00:06:25,385,684,,,552,503,,
00:06:30,390,684,,,552,503,,
00:06:35,395,684,,,552,503,,
00:06:40,400,683,,,552,503,,
00:06:45,405,683,,,552,503,,
00:06:50,410,683,,,552,503,,
00:06:55,415,683,,,552,503,,
00:07:00,420,683,,,552,503,,
00:07:05,425,683,,,552,503,,
00:07:10,430,683,,,552,503,,
00:07:15,435,683,,,552,503,,
00:07:20,440,683,,,552,503,,
00:07:25,445,683,,,551,503,,
00:07:30,450,683,,,551,502,,
00:07:35,455,683,,,552,502,,
00:07:40,460,683,,,552,502,,
00:07:45,465,683,,,554,502,,
00:07:50,470,684,,,555,502,,
00:07:55,475,684,,,556,502,,
00:08:00,480,684,,,556,502,,
00:08:05,485,684,,,557,502,,
00:08:10,490,684,,,557,502,,
00:08:15,495,684,,,557,502,,
00:08:20,500,684,,,557,502,,
00:08:25,505,684,,,557,502,,
00:08:30,510,684,,,557,502,,
00:08:35,515,684,,,557,502,,
00:08:40,520,685,,,557,503,,
00:08:45,525,685,,,556,503,,
00:08:50,530,685,,,556,504,,
00:08:55,535,685,,,555,504,,
00:09:00,540,685,,,555,504,,
00:09:05,545,685,,,555,504,,
00:09:10,550,685,,,555,504,,
00:09:15,555,684,,,555,503,,
00:09:20,560,684,,,555,503,,
00:09:25,565,685,,,555,504,,
00:09:30,570,685,,,555,504,,
00:09:35,575,684,,,555,503,,
00:09:40,580,685,,,555,504,,
00:09:45,585,685,,,555,504,,
00:09:50,590,686,,,555,504,,
00:09:55,595,686,,,555,504,,
