ID,Time,Seconds Elapsed,One,Two,Three,Four,,,Test C1 - oVernight,,,,,,
1,00:00:00,0.1,370,312,186,273,,,"Scan Session:  ""#5 Overnight (control!!)""",,,,,,
2,00:00:05,5.1,370,312,186,273,,,Start Time:  12/04/2022 16:33:43,,,,,,
3,00:00:10,10.1,370,312,186,273,,,,,,,,,
4,00:00:15,15.1,370,312,186,273,,,Assignment:,,,High Level Transducer #1 on channel 2,High Level Transducer #1 on channel 1,High Level Transducer #1 on channel 3,High Level Transducer #1 on channel 4
5,00:00:20,20.1,370,312,186,273,,,Reduction Method:,,,Calibrated Values,Calibrated Values,Calibrated Values,Calibrated Values
6,00:00:25,25.1,370,312,186,273,,,,,,,,,
7,00:00:30,30.1,370,312,186,273,,,,,,,,,
8,00:00:35,35.1,370,312,186,273,,,,,,,,,
9,00:00:40,40.1,370,312,186,273,,,,,,,,,
10,00:00:45,45.1,370,312,186,273,,,,,,,,,
11,00:00:50,50.1,370,312,186,273,,,,,,,,,
12,00:00:55,55.1,370,312,186,273,,,,,,,,,
13,00:01:00,60.1,370,312,186,273,,,,,,,,,
14,00:01:05,65.1,370,312,186,273,,,,,,,,,
15,00:01:10,70.1,370,312,186,273,,,,,,,,,
16,00:01:15,75.1,370,312,186,273,,,,,,,,,
17,00:01:20,80.1,370,312,186,273,,,,,,,,,
18,00:01:25,85.1,359,312,186,273,,,,,,,,,
19,00:01:30,90.1,359,312,186,273,,,,,,,,,
20,00:01:35,95.1,359,312,186,273,,,,,,,,,
21,00:01:40,100.1,359,312,186,273,,,,,,,,,
22,00:01:45,105.1,359,312,186,273,,,,,,,,,
23,00:01:50,110.1,359,312,186,273,,,,,,,,,
24,00:01:55,115.1,359,312,186,273,,,,,,,,,
25,00:02:00,120.1,359,312,186,273,,,,,,,,,
26,00:02:05,125.1,359,312,186,273,,,,,,,,,
27,00:02:10,130.1,359,312,186,273,,,,,,,,,
28,00:02:15,135.1,359,312,186,273,,,,,,,,,
29,00:02:20,140.1,359,312,186,273,,,,,,,,,
30,00:02:25,145.1,359,312,186,273,,,,,,,,,
31,00:02:30,150.1,359,312,186,273,,,,,,,,,
32,00:02:35,155.1,359,312,186,273,,,,,,,,,
33,00:02:40,160.1,359,312,186,273,,,,,,,,,
34,00:02:45,165.1,359,312,186,273,,,,,,,,,
