ID,Seconds Elapsed,Time,One,Two,Three,Four,,,c2,,,,,,
1,0.1,00:00:00,317,281,165,252,,,"Scan Session:  ""#6 with josie, david, ferdi""",,,,,,
2,5.1,00:00:05,317,281,165,252,,,Start Time:  13/04/2022 09:16:10,,,,,,
3,10.1,00:00:10,317,281,165,252,,,,,,,,,
4,15.1,00:00:15,317,281,165,252,,,Assignment:,,,High Level Transducer #1 on channel 2,High Level Transducer #1 on channel 1,High Level Transducer #1 on channel 3,High Level Transducer #1 on channel 4
5,20.1,00:00:20,317,281,165,252,,,Reduction Method:,,,Calibrated Values,Calibrated Values,Calibrated Values,Calibrated Values
6,25.1,00:00:25,317,281,165,252,,,,,,,,,
7,30.1,00:00:30,317,281,165,252,,,,,,,,,
8,35.1,00:00:35,317,281,165,252,,,,,,,,,
9,40.1,00:00:40,317,281,165,252,,,,,,,,,
10,45.1,00:00:45,317,281,165,252,,,,,,,,,
11,50.1,00:00:50,317,281,165,252,,,,,,,,,
12,55.1,00:00:55,317,281,165,252,,,,,,,,,
13,60.1,00:01:00,317,281,176,252,,,,,,,,,
14,65.1,00:01:05,328,281,176,252,,,,,,,,,
15,70.1,00:01:10,328,281,176,252,,,,,,,,,
16,75.1,00:01:15,328,281,176,252,,,,,,,,,
17,80.1,00:01:20,328,281,176,252,,,,,,,,,
18,85.1,00:01:25,328,281,176,252,,,,,,,,,
19,90.1,00:01:30,328,281,176,252,,,,,,,,,
20,95.1,00:01:35,328,281,176,252,,,,,,,,,
21,100.1,00:01:40,328,281,176,252,,,,,,,,,
22,105.1,00:01:45,328,281,176,252,,,,,,,,,
23,110.1,00:01:50,328,281,176,252,,,,,,,,,
24,115.1,00:01:55,328,281,176,252,,,,,,,,,
25,120.1,00:02:00,328,281,176,252,,,,,,,,,
26,125.1,00:02:05,328,281,176,252,,,,,,,,,
27,130.1,00:02:10,328,281,176,252,,,,,,,,,
28,135.1,00:02:15,328,291,176,252,,,,,,,,,
29,140.1,00:02:20,328,291,176,252,,,,,,,,,
30,145.1,00:02:25,328,291,176,252,,,,,,,,,
31,150.1,00:02:30,328,291,176,252,,,,,,,,,
32,155.1,00:02:35,328,291,176,252,,,,,,,,,
33,160.1,00:02:40,328,291,176,252,,,,,,,,,
34,165.1,00:02:45,328,291,176,252,,,,,,,,,
35,170.1,00:02:50,328,291,176,252,,,,,,,,,
36,175.1,00:02:55,328,291,176,252,,,,,,,,,
37,180.1,00:03:00,328,291,176,252,,,,,,,,,
38,185.1,00:03:05,328,291,176,252,,,,,,,,,
39,190.1,00:03:10,328,291,176,252,,,,,,,,,
40,195.1,00:03:15,328,291,176,252,,,,,,,,,
41,200.1,00:03:20,328,291,176,252,,,,,,,,,
42,205.1,00:03:25,328,291,176,252,,,,,,,,,
43,210.1,00:03:30,328,302,176,252,,,,,,,,,
44,215.1,00:03:35,328,302,176,252,,,,,,,,,
45,220.1,00:03:40,328,302,176,252,,,,,,,,,
46,225.1,00:03:45,328,302,176,252,,,,,,,,,
47,230.1,00:03:50,328,302,176,252,,,,,,,,,
48,235.1,00:03:55,328,302,186,252,,,,,,,,,
49,240.1,00:04:00,328,302,186,252,,,,,,,,,
50,245.1,00:04:05,328,302,186,252,,,,,,,,,
51,250.1,00:04:10,328,302,186,252,,,,,,,,,
52,255.1,00:04:15,328,302,186,262,,,,,,,,,
53,260.1,00:04:20,328,302,186,262,,,,,,,,,
54,265.1,00:04:25,328,302,186,262,,,,,,,,,
55,270.1,00:04:30,328,302,186,262,,,,,,,,,
56,275.1,00:04:35,328,302,186,262,,,,,,,,,
57,280.1,00:04:40,328,302,186,262,,,,,,,,,
58,285.1,00:04:45,328,302,186,262,,,,,,,,,
59,290.1,00:04:50,328,302,186,262,,,,,,,,,
60,295.1,00:04:55,328,302,186,262,,,,,,,,,
61,300.1,00:05:00,328,302,186,262,,,,,,,,,
62,305.1,00:05:05,328,302,186,262,,,,,,,,,
63,310.1,00:05:10,328,302,186,262,,,,,,,,,
64,315.1,00:05:15,328,302,186,262,,,,,,,,,
65,320.1,00:05:20,328,302,186,262,,,,,,,,,
66,325.1,00:05:25,328,302,186,262,,,,,,,,,
67,330.1,00:05:30,328,302,186,262,,,,,,,,,
68,335.1,00:05:35,328,302,186,262,,,,,,,,,
69,340.1,00:05:40,328,302,186,262,,,,,,,,,
