ID,Time,Seconds Elapsed,One,Two,Three,Four,,c3,,,,,
1,00:00:00,0.1,0,0,0,0,,"Scan Session:  ""#7 josie and david blow on sensor""",,,,,
2,00:00:05,5.1,0,0,0,0,,Start Time:  13/04/2022 10:40:31,,,,,
3,00:00:10,10.1,0,0,0,0,,,,,,,
4,00:00:15,15.1,0,-10,0,0,,Assignment:,,High Level Transducer #1 on channel 2,High Level Transducer #1 on channel 1,High Level Transducer #1 on channel 3,High Level Transducer #1 on channel 4
5,00:00:20,20.1,0,-10,0,0,,Reduction Method:,,Calibrated Values,Calibrated Values,Calibrated Values,Calibrated Values
6,00:00:25,25.1,0,-10,0,0,,,,,,,
7,00:00:30,30.1,0,-10,0,0,,,,,,,
8,00:00:35,35.1,0,-10,0,0,,,,,,,
9,00:00:40,40.1,0,-10,0,0,,,,,,,
10,00:00:45,45.1,0,-10,0,0,,,,,,,
11,00:00:50,50.1,11,-10,0,0,,,,,,,
12,00:00:55,55.1,10,-10,0,0,,,,,,,
13,00:01:00,60.1,10,-10,0,0,,,,,,,
14,00:01:05,65.1,10,-10,0,0,,,,,,,
15,00:01:10,70.1,10,-10,0,0,,,,,,,
16,00:01:15,75.1,10,-10,0,0,,,,,,,
17,00:01:20,80.1,10,-10,0,0,,,,,,,
18,00:01:25,85.1,10,-10,0,0,,,,,,,
19,00:01:30,90.1,10,-10,0,0,,,,,,,
20,00:01:35,95.1,10,-10,0,0,,,,,,,
21,00:01:40,100.1,10,-10,0,0,,,,,,,
22,00:01:45,105.1,10,-10,0,0,,,,,,,
23,00:01:50,110.1,10,-10,0,0,,,,,,,
24,00:01:55,115.1,10,-10,0,0,,,,,,,
25,00:02:00,120.1,31,-10,0,0,,,,,,,
26,00:02:05,125.1,31,-10,0,0,,,,,,,
27,00:02:10,130.1,230,-10,0,0,,,,,,,
28,00:02:15,135.1,815,-10,0,0,,,,,,,
29,00:02:20,140.1,820,-21,0,0,,,,,,,
30,00:02:25,145.1,1484,-21,0,0,,,,,,,
31,00:02:30,150.1,2184,-21,0,0,,,,,,,
32,00:02:35,155.1,2633,-21,0,0,,,,,,,
33,00:02:40,160.1,2633,-21,0,0,,,,,,,
34,00:02:45,165.1,2915,-21,0,0,,,,,,,
35,00:02:50,170.1,3051,-21,0,0,,,,,,,
36,00:02:55,175.1,3092,-31,0,0,,,,,,,
37,00:03:00,180.1,3093,-31,0,0,,,,,,,
38,00:03:05,185.1,3114,-31,0,0,,,,,,,
39,00:03:10,190.1,3114,-31,0,0,,,,,,,
40,00:03:15,195.1,3114,-31,0,0,,,,,,,
41,00:03:20,200.1,3041,-21,0,0,,,,,,,
42,00:03:25,205.1,2664,-21,0,0,,,,,,,
43,00:03:30,210.1,2664,177,0,0,,,,,,,
44,00:03:35,215.1,2664,637,0,0,,,,,,,
45,00:03:40,220.1,1651,1033,0,0,,,,,,,
46,00:03:45,225.1,1379,1034,0,0,,,,,,,
47,00:03:50,230.1,1378,1159,0,0,,,,,,,
48,00:03:55,235.1,1170,1159,0,0,,,,,,,
49,00:04:00,240.1,1003,1159,0,0,,,,,,,
50,00:04:05,245.1,857,1159,0,0,,,,,,,
51,00:04:10,250.1,857,1076,0,0,,,,,,,
52,00:04:15,255.1,731,919,0,0,,,,,,,
53,00:04:20,260.1,616,919,0,0,,,,,,,
54,00:04:25,265.1,616,814,0,0,,,,,,,
55,00:04:30,270.1,616,710,0,0,,,,,,,
56,00:04:35,275.1,439,607,0,0,,,,,,,
57,00:04:40,280.1,376,606,0,0,,,,,,,
58,00:04:45,285.1,376,522,0,0,,,,,,,
59,00:04:50,290.1,324,428,0,0,,,,,,,
60,00:04:55,295.1,272,428,0,0,,,,,,,
61,00:05:00,300.1,261,355,0,0,,,,,,,
62,00:05:05,305.1,261,282,0,0,,,,,,,
63,00:05:10,310.1,251,230,0,0,,,,,,,
64,00:05:15,315.1,219,230,0,0,,,,,,,
65,00:05:20,320.1,220,209,0,0,,,,,,,
66,00:05:25,325.1,188,156,0,0,,,,,,,
67,00:05:30,330.1,177,140,0,0,,,,,,,
68,00:05:35,335.1,167,136,0,0,,,,,,,
69,00:05:40,340.1,167,125,0,0,,,,,,,
70,00:05:45,345.1,157,104,0,0,,,,,,,
71,00:05:50,350.1,157,104,0,0,,,,,,,
72,00:05:55,355.1,155,94,11,0,,,,,,,
73,00:06:00,360.1,136,94,11,0,,,,,,,
74,00:06:05,365.1,136,94,11,0,,,,,,,
75,00:06:10,370.1,136,94,11,0,,,,,,,
76,00:06:15,375.1,136,83,11,0,,,,,,,
77,00:06:20,380.1,136,83,11,0,,,,,,,
78,00:06:25,385.1,136,83,11,0,,,,,,,
79,00:06:30,390.1,136,83,11,0,,,,,,,
80,00:06:35,395.1,136,83,11,0,,,,,,,
81,00:06:40,400.1,115,83,11,10,,,,,,,
82,00:06:45,405.1,104,83,11,10,,,,,,,
83,00:06:50,410.1,104,83,11,11,,,,,,,
84,00:06:55,415.1,104,83,11,11,,,,,,,
85,00:07:00,420.1,104,83,11,11,,,,,,,
86,00:07:05,425.1,104,83,11,11,,,,,,,
87,00:07:10,430.1,94,73,11,11,,,,,,,
88,00:07:15,435.1,94,73,11,11,,,,,,,
89,00:07:20,440.1,83,73,11,10,,,,,,,
90,00:07:25,445.1,84,73,11,11,,,,,,,
91,00:07:30,450.1,84,73,11,11,,,,,,,
92,00:07:35,455.1,72,62,11,10,,,,,,,
93,00:07:40,460.1,73,63,11,10,,,,,,,
94,00:07:45,465.1,73,63,11,10,,,,,,,
95,00:07:50,470.1,73,63,11,10,,,,,,,
96,00:07:55,475.1,73,63,11,10,,,,,,,
97,00:08:00,480.1,73,63,11,10,,,,,,,
98,00:08:05,485.1,73,52,11,10,,,,,,,
99,00:08:10,490.1,63,52,11,10,,,,,,,
100,00:08:15,495.1,63,52,11,10,,,,,,,
101,00:08:20,500.1,63,31,11,10,,,,,,,
102,00:08:25,505.1,63,31,11,10,,,,,,,
103,00:08:30,510.1,63,31,11,10,,,,,,,
104,00:08:35,515.1,52,31,11,10,,,,,,,
105,00:08:40,520.1,52,21,11,11,,,,,,,
106,00:08:45,525.1,52,21,11,10,,,,,,,
107,00:08:50,530.1,52,21,11,10,,,,,,,
108,00:08:55,535.1,52,21,11,10,,,,,,,
109,00:09:00,540.1,52,21,11,10,,,,,,,
110,00:09:05,545.1,52,10,11,10,,,,,,,
111,00:09:10,550.1,52,10,11,10,,,,,,,
112,00:09:15,555.1,52,10,11,11,,,,,,,
113,00:09:20,560.1,52,10,11,10,,,,,,,
114,00:09:25,565.1,52,10,11,10,,,,,,,
115,00:09:30,570.1,52,10,11,11,,,,,,,
116,00:09:35,575.1,52,0,11,10,,,,,,,
117,00:09:40,580.1,42,0,11,10,,,,,,,
118,00:09:45,585.1,42,0,11,10,,,,,,,
119,00:09:50,590.1,42,-11,11,10,,,,,,,
120,00:09:55,595.1,42,-11,11,10,,,,,,,
121,00:10:00,600.1,42,-11,11,10,,,,,,,
122,00:10:05,605.1,42,-11,11,10,,,,,,,
123,00:10:10,610.1,42,-11,11,11,,,,,,,
124,00:10:15,615.1,42,-11,11,10,,,,,,,
125,00:10:20,620.1,42,-11,11,10,,,,,,,
126,00:10:25,625.1,42,-11,11,10,,,,,,,
127,00:10:30,630.1,31,-21,11,10,,,,,,,
128,00:10:35,635.1,31,-21,10,10,,,,,,,
129,00:10:40,640.1,31,-21,11,10,,,,,,,
130,00:10:45,645.1,31,-21,11,10,,,,,,,
131,00:10:50,650.1,31,-21,11,10,,,,,,,
132,00:10:55,655.1,31,-21,10,11,,,,,,,
133,00:11:00,660.1,31,-21,11,11,,,,,,,
134,00:11:05,665.1,31,-21,11,11,,,,,,,
135,00:11:10,670.1,31,-21,11,10,,,,,,,
136,00:11:15,675.1,31,52,11,10,,,,,,,
137,00:11:20,680.1,31,52,11,10,,,,,,,
138,00:11:25,685.1,31,62,11,11,,,,,,,
139,00:11:30,690.1,31,62,11,11,,,,,,,
140,00:11:35,695.1,31,62,11,10,,,,,,,
141,00:11:40,700.1,31,63,11,10,,,,,,,
142,00:11:45,705.1,31,63,11,10,,,,,,,
143,00:11:50,710.1,31,62,10,11,,,,,,,
144,00:11:55,715.1,31,62,10,11,,,,,,,
145,00:12:00,720.1,31,63,10,11,,,,,,,
146,00:12:05,725.1,31,63,11,11,,,,,,,
147,00:12:10,730.1,31,62,10,11,,,,,,,
148,00:12:15,735.1,31,62,10,11,,,,,,,
149,00:12:20,740.1,31,42,10,11,,,,,,,
150,00:12:25,745.1,31,42,10,11,,,,,,,
151,00:12:30,750.1,31,42,10,10,,,,,,,
152,00:12:35,755.1,31,31,10,11,,,,,,,
153,00:12:40,760.1,31,21,10,10,,,,,,,
154,00:12:45,765.1,21,21,11,11,,,,,,,
155,00:12:50,770.1,21,21,11,11,,,,,,,
156,00:12:55,775.1,21,0,10,11,,,,,,,
157,00:13:00,780.1,21,0,11,11,,,,,,,
158,00:13:05,785.1,21,0,11,11,,,,,,,
159,00:13:10,790.1,21,0,11,11,,,,,,,
160,00:13:15,795.1,21,-11,11,10,,,,,,,
161,00:13:20,800.1,21,-11,11,11,,,,,,,
162,00:13:25,805.1,21,-11,11,10,,,,,,,
163,00:13:30,810.1,21,-11,11,11,,,,,,,
164,00:13:35,815.1,21,-11,11,10,,,,,,,
165,00:13:40,820.1,21,-21,11,10,,,,,,,
166,00:13:45,825.1,21,-21,11,10,,,,,,,
167,00:13:50,830.1,21,-21,11,10,,,,,,,
168,00:13:55,835.1,21,-21,11,10,,,,,,,
169,00:14:00,840.1,21,-21,11,10,,,,,,,
170,00:14:05,845.1,21,-21,11,10,,,,,,,
171,00:14:10,850.1,21,-21,11,10,,,,,,,
172,00:14:15,855.1,21,-31,11,10,,,,,,,
173,00:14:20,860.1,21,-31,11,10,,,,,,,
174,00:14:25,865.1,21,-31,11,10,,,,,,,
175,00:14:30,870.1,21,-31,11,10,,,,,,,
176,00:14:35,875.1,21,-31,11,10,,,,,,,
177,00:14:40,880.1,21,-31,11,10,,,,,,,
178,00:14:45,885.1,21,-31,11,10,,,,,,,
179,00:14:50,890.1,21,-31,11,10,,,,,,,
180,00:14:55,895.1,21,-31,11,10,,,,,,,
181,00:15:00,900.1,21,-31,11,10,,,,,,,
182,00:15:05,905.1,21,-31,11,10,,,,,,,
183,00:15:10,910.1,21,-21,11,10,,,,,,,
184,00:15:15,915.1,21,-21,11,10,,,,,,,
185,00:15:20,920.1,21,-21,11,10,,,,,,,
186,00:15:25,925.1,21,-21,11,10,,,,,,,
187,00:15:30,930.1,21,-21,11,10,,,,,,,
188,00:15:35,935.1,21,-21,11,10,,,,,,,
189,00:15:40,940.1,21,-21,11,10,,,,,,,
190,00:15:45,945.1,21,-21,11,10,,,,,,,
191,00:15:50,950.1,21,-21,11,10,,,,,,,
192,00:15:55,955.1,21,-21,11,10,,,,,,,
193,00:16:00,960.1,21,-21,11,10,,,,,,,
194,00:16:05,965.1,21,-21,11,10,,,,,,,
195,00:16:10,970.1,21,-21,11,10,,,,,,,
196,00:16:15,975.1,21,-21,11,10,,,,,,,
197,00:16:20,980.1,21,-21,11,10,,,,,,,
198,00:16:25,985.1,21,-21,11,10,,,,,,,
199,00:16:30,990.1,21,-21,11,10,,,,,,,
200,00:16:35,995.1,21,-21,11,10,,,,,,,
201,00:16:40,1000.1,21,-21,11,10,,,,,,,
202,00:16:45,1005.1,21,-21,11,10,,,,,,,
203,00:16:50,1010.1,21,-21,11,10,,,,,,,
204,00:16:55,1015.1,21,-21,11,10,,,,,,,
205,00:17:00,1020.1,10,-21,11,10,,,,,,,
206,00:17:05,1025.1,10,-21,11,10,,,,,,,
207,00:17:10,1030.1,10,-31,11,10,,,,,,,
208,00:17:15,1035.1,10,-31,11,10,,,,,,,
209,00:17:20,1040.1,10,-31,11,10,,,,,,,
210,00:17:25,1045.1,10,-31,11,10,,,,,,,
211,00:17:30,1050.1,10,-31,11,10,,,,,,,
212,00:17:35,1055.1,10,-31,11,10,,,,,,,
