ID,Time,Seconds Elapsed,One,Two,Three,Four,,,,,v4,,,,,
1,00:00:00,0.1,391,344,218,315,,,,,"Scan Session:  ""#8 harvey enters towards end""",,,,,
2,00:00:05,5.1,391,344,218,315,,,,,Start Time:  13/04/2022 11:02:30,,,,,
3,00:00:10,10.1,391,344,218,315,,,,,,,,,,
4,00:00:15,15.1,391,344,217,315,,,,,Assignment:,,High Level Transducer #1 on channel 2,High Level Transducer #1 on channel 1,High Level Transducer #1 on channel 3,High Level Transducer #1 on channel 4
5,00:00:20,20.1,391,344,218,315,,,,,Reduction Method:,,Calibrated Values,Calibrated Values,Calibrated Values,Calibrated Values
6,00:00:25,25.1,391,344,218,315,,,,,,,,,,
7,00:00:30,30.1,1,1,1,1,,,,,,,,,,
8,00:00:35,35.1,3,0,2,3,,,,,,,,,,
9,00:00:40,40.1,3,0,3,3,,,,,,,,,,
10,00:00:45,45.1,4,1,3,3,,,,,,,,,,
11,00:00:50,50.1,4,1,3,3,,,,,,,,,,
12,00:00:55,55.1,4,1,82,3,,,,,,,,,,
13,00:01:00,60.1,119,104,467,106,,,,,,,,,,
14,00:01:05,65.1,119,566,445,535,,,,,,,,,,
15,00:01:10,70.1,119,646,447,607,,,,,,,,,,
16,00:01:15,75.1,119,625,342,576,,,,,,,,,,
17,00:01:20,80.1,516,521,342,471,,,,,,,,,,
18,00:01:25,85.1,516,521,342,471,,,,,,,,,,
19,00:01:30,90.1,516,396,259,461,,,,,,,,,,
20,00:01:35,95.1,474,385,249,356,,,,,,,,,,
21,00:01:40,100.1,464,375,249,346,,,,,,,,,,
22,00:01:45,105.1,464,375,249,346,,,,,,,,,,
23,00:01:50,110.1,432,375,249,346,,,,,,,,,,
24,00:01:55,115.1,432,364,249,346,,,,,,,,,,
25,00:02:00,120.1,432,364,249,346,,,,,,,,,,
26,00:02:05,125.1,422,364,249,346,,,,,,,,,,
27,00:02:10,130.1,422,364,249,335,,,,,,,,,,
28,00:02:15,135.1,422,364,238,335,,,,,,,,,,
29,00:02:20,140.1,422,364,238,335,,,,,,,,,,
30,00:02:25,145.1,422,364,238,335,,,,,,,,,,
31,00:02:30,150.1,422,354,238,335,,,,,,,,,,
32,00:02:35,155.1,422,354,238,335,,,,,,,,,,
33,00:02:40,160.1,422,354,238,335,,,,,,,,,,
34,00:02:45,165.1,411,354,238,335,,,,,,,,,,
35,00:02:50,170.1,412,354,238,325,,,,,,,,,,
36,00:02:55,175.1,412,354,238,325,,,,,,,,,,
37,00:03:00,180.1,412,354,238,325,,,,,,,,,,
38,00:03:05,185.1,412,354,238,325,,,,,,,,,,
39,00:03:10,190.1,412,354,238,325,,,,,,,,,,
40,00:03:15,195.1,412,354,238,325,,,,,,,,,,
41,00:03:20,200.1,411,354,238,325,,,,,,,,,,
42,00:03:25,205.1,412,354,238,325,,,,,,,,,,
43,00:03:30,210.1,411,354,238,325,,,,,,,,,,
44,00:03:35,215.1,412,354,238,325,,,,,,,,,,
45,00:03:40,220.1,412,354,238,325,,,,,,,,,,
46,00:03:45,225.1,412,354,238,325,,,,,,,,,,
47,00:03:50,230.1,411,354,238,325,,,,,,,,,,
48,00:03:55,235.1,401,354,238,325,,,,,,,,,,
49,00:04:00,240.1,401,354,238,325,,,,,,,,,,
50,00:04:05,245.1,401,354,228,325,,,,,,,,,,
51,00:04:10,250.1,401,354,228,325,,,,,,,,,,
52,00:04:15,255.1,401,354,228,325,,,,,,,,,,
53,00:04:20,260.1,401,354,228,325,,,,,,,,,,
54,00:04:25,265.1,401,354,228,325,,,,,,,,,,
55,00:04:30,270.1,401,354,228,325,,,,,,,,,,
56,00:04:35,275.1,401,354,228,325,,,,,,,,,,
57,00:04:40,280.1,401,354,228,315,,,,,,,,,,
58,00:04:45,285.1,401,354,228,315,,,,,,,,,,
59,00:04:50,290.1,401,354,228,315,,,,,,,,,,
60,00:04:55,295.1,401,354,228,315,,,,,,,,,,
61,00:05:00,300.1,401,354,228,315,,,,,,,,,,
62,00:05:05,305.1,401,354,228,315,,,,,,,,,,
63,00:05:10,310.1,401,354,228,315,,,,,,,,,,
64,00:05:15,315.1,401,354,228,315,,,,,,,,,,
65,00:05:20,320.1,401,354,228,315,,,,,,,,,,
66,00:05:25,325.1,401,343,228,315,,,,,,,,,,
67,00:05:30,330.1,401,344,228,315,,,,,,,,,,
68,00:05:35,335.1,401,343,228,315,,,,,,,,,,
69,00:05:40,340.1,401,343,228,315,,,,,,,,,,
70,00:05:45,345.1,391,344,228,315,,,,,,,,,,
71,00:05:50,350.1,391,344,228,315,,,,,,,,,,
72,00:05:55,355.1,391,343,228,315,,,,,,,,,,
73,00:06:00,360.1,391,343,228,315,,,,,,,,,,
74,00:06:05,365.1,391,343,228,315,,,,,,,,,,
75,00:06:10,370.1,391,344,228,315,,,,,,,,,,
76,00:06:15,375.1,391,344,228,315,,,,,,,,,,
77,00:06:20,380.1,391,343,228,315,,,,,,,,,,
78,00:06:25,385.1,391,344,228,315,,,,,,,,,,
