ID,Time,Seconds Elapsed,One,Two,Three,Four,,,,,c5,,,,,,
1,00:00:00,0.1,464,406,249,346,,,,,"Scan Session:  ""#10 - general office atmosphere +athena""",,,,,,
2,00:00:05,5.1,464,406,259,346,,,,,Start Time:  13/04/2022 13:47:20,,,,,,
3,00:00:10,10.1,464,406,259,346,,,,,,,,,,,
4,00:00:15,15.1,464,406,259,346,,,,,Assignment:,,,High Level Transducer #1 on channel 2,High Level Transducer #1 on channel 1,High Level Transducer #1 on channel 3,High Level Transducer #1 on channel 4
5,00:00:20,20.1,464,406,259,346,,,,,Reduction Method:,,,Calibrated Values,Calibrated Values,Calibrated Values,Calibrated Values
6,00:00:25,25.1,464,406,259,346,,,,,,,,,,,
7,00:00:30,30.1,474,406,259,346,,,,,,,,,,,
8,00:00:35,35.1,474,406,259,346,,,,,,,,,,,
9,00:00:40,40.1,474,406,270,346,,,,,,,,,,,
10,00:00:45,45.1,474,406,270,346,,,,,,,,,,,
11,00:00:50,50.1,474,406,270,346,,,,,,,,,,,
12,00:00:55,55.1,474,406,270,346,,,,,,,,,,,
13,00:01:00,60.1,474,406,270,346,,,,,,,,,,,
14,00:01:05,65.1,474,406,270,346,,,,,,,,,,,
15,00:01:10,70.1,474,406,270,346,,,,,,,,,,,
16,00:01:15,75.1,474,406,270,346,,,,,,,,,,,
17,00:01:20,80.1,474,406,270,346,,,,,,,,,,,
18,00:01:25,85.1,474,406,270,346,,,,,,,,,,,
19,00:01:30,90.1,474,406,270,346,,,,,,,,,,,
20,00:01:35,95.1,474,406,270,346,,,,,,,,,,,
21,00:01:40,100.1,474,406,280,346,,,,,,,,,,,
22,00:01:45,105.1,474,406,280,346,,,,,,,,,,,
23,00:01:50,110.1,474,406,280,346,,,,,,,,,,,
24,00:01:55,115.1,474,406,280,346,,,,,,,,,,,
25,00:02:00,120.1,474,406,280,346,,,,,,,,,,,
26,00:02:05,125.1,474,406,280,346,,,,,,,,,,,
27,00:02:10,130.1,474,417,280,346,,,,,,,,,,,
28,00:02:15,135.1,474,417,280,346,,,,,,,,,,,
29,00:02:20,140.1,474,417,280,346,,,,,,,,,,,
30,00:02:25,145.1,474,417,280,346,,,,,,,,,,,
31,00:02:30,150.1,474,417,280,346,,,,,,,,,,,
32,00:02:35,155.1,474,417,280,346,,,,,,,,,,,
33,00:02:40,160.1,474,417,280,346,,,,,,,,,,,
34,00:02:45,165.1,474,417,280,346,,,,,,,,,,,
35,00:02:50,170.1,474,417,280,346,,,,,,,,,,,
36,00:02:55,175.1,474,417,280,346,,,,,,,,,,,
37,00:03:00,180.1,474,417,280,346,,,,,,,,,,,
38,00:03:05,185.1,474,417,280,346,,,,,,,,,,,
39,00:03:10,190.1,474,417,280,346,,,,,,,,,,,
40,00:03:15,195.1,474,417,280,346,,,,,,,,,,,
41,00:03:20,200.1,474,417,280,346,,,,,,,,,,,
42,00:03:25,205.1,474,417,280,346,,,,,,,,,,,
43,00:03:30,210.1,474,417,280,346,,,,,,,,,,,
44,00:03:35,215.1,474,417,280,346,,,,,,,,,,,
45,00:03:40,220.1,474,417,280,346,,,,,,,,,,,
46,00:03:45,225.1,474,417,280,346,,,,,,,,,,,
47,00:03:50,230.1,474,417,280,346,,,,,,,,,,,
48,00:03:55,235.1,474,417,280,346,,,,,,,,,,,
49,00:04:00,240.1,474,417,280,346,,,,,,,,,,,
50,00:04:05,245.1,474,417,280,346,,,,,,,,,,,
51,00:04:10,250.1,474,417,280,346,,,,,,,,,,,
52,00:04:15,255.1,474,417,280,356,,,,,,,,,,,
53,00:04:20,260.1,474,417,280,356,,,,,,,,,,,
54,00:04:25,265.1,474,417,280,356,,,,,,,,,,,
55,00:04:30,270.1,474,417,280,356,,,,,,,,,,,
56,00:04:35,275.1,474,417,280,356,,,,,,,,,,,
57,00:04:40,280.1,474,417,280,356,,,,,,,,,,,
58,00:04:45,285.1,463,417,280,356,,,,,,,,,,,
59,00:04:50,290.1,464,417,280,356,,,,,,,,,,,
60,00:04:55,295.1,464,417,280,356,,,,,,,,,,,
61,00:05:00,300.1,464,417,280,356,,,,,,,,,,,
62,00:05:05,305.1,464,417,280,356,,,,,,,,,,,
63,00:05:10,310.1,464,417,280,356,,,,,,,,,,,
64,00:05:15,315.1,464,417,280,356,,,,,,,,,,,
65,00:05:20,320.1,464,417,280,356,,,,,,,,,,,
66,00:05:25,325.1,464,417,280,356,,,,,,,,,,,
67,00:05:30,330.1,464,417,280,356,,,,,,,,,,,
68,00:05:35,335.1,464,417,280,356,,,,,,,,,,,
69,00:05:40,340.1,464,417,280,356,,,,,,,,,,,
70,00:05:45,345.1,464,417,280,356,,,,,,,,,,,
71,00:05:50,350.1,464,417,280,356,,,,,,,,,,,
72,00:05:55,355.1,464,417,280,356,,,,,,,,,,,
73,00:06:00,360.1,464,417,280,356,,,,,,,,,,,
74,00:06:05,365.1,464,417,280,356,,,,,,,,,,,
75,00:06:10,370.1,464,417,280,356,,,,,,,,,,,
76,00:06:15,375.1,464,417,280,356,,,,,,,,,,,
77,00:06:20,380.1,453,417,280,356,,,,,,,,,,,
78,00:06:25,385.1,453,417,280,356,,,,,,,,,,,
79,00:06:30,390.1,453,417,280,356,,,,,,,,,,,
80,00:06:35,395.1,453,417,280,356,,,,,,,,,,,
81,00:06:40,400.1,453,417,280,356,,,,,,,,,,,
82,00:06:45,405.1,453,417,280,356,,,,,,,,,,,
83,00:06:50,410.1,453,417,280,356,,,,,,,,,,,
84,00:06:55,415.1,453,417,280,356,,,,,,,,,,,
85,00:07:00,420.1,453,417,280,356,,,,,,,,,,,
86,00:07:05,425.1,453,417,280,356,,,,,,,,,,,
87,00:07:10,430.1,453,417,280,356,,,,,,,,,,,
88,00:07:15,435.1,453,417,280,356,,,,,,,,,,,
89,00:07:20,440.1,453,417,280,356,,,,,,,,,,,
90,00:07:25,445.1,453,417,280,356,,,,,,,,,,,
91,00:07:30,450.1,453,417,280,356,,,,,,,,,,,
92,00:07:35,455.1,453,417,280,357,,,,,,,,,,,
