ID,Time,Seconds Elapsed,One,Two,Three,Four,,,,c6,,,,,
1,00:00:00,0.1,0,0,84,0,,,,"Scan Session:  ""#9 - 1,2 &3 on harveys desk. #4 across room""",,,,,
2,00:00:05,5.1,0,0,125,0,,,,Start Time:  13/04/2022 12:58:39,,,,,
3,00:00:10,10.1,0,0,125,0,,,,,,,,,
4,00:00:15,15.1,0,0,128,0,,,,Assignment:,,High Level Transducer #1 on channel 2,High Level Transducer #1 on channel 1,High Level Transducer #1 on channel 3,High Level Transducer #1 on channel 4
5,00:00:20,20.1,0,0,83,0,,,,Reduction Method:,,Calibrated Values,Calibrated Values,Calibrated Values,Calibrated Values
6,00:00:25,25.1,0,0,84,0,,,,,,,,,
7,00:00:30,30.1,0,0,31,0,,,,,,,,,
8,00:00:35,35.1,0,0,31,0,,,,,,,,,
9,00:00:40,40.1,0,0,21,0,,,,,,,,,
10,00:00:45,45.1,0,0,21,0,,,,,,,,,
11,00:00:50,50.1,0,0,21,0,,,,,,,,,
12,00:00:55,55.1,0,0,21,0,,,,,,,,,
13,00:01:00,60.1,0,0,21,0,,,,,,,,,
14,00:01:05,65.1,0,0,21,0,,,,,,,,,
15,00:01:10,70.1,0,0,21,0,,,,,,,,,
16,00:01:15,75.1,0,0,21,0,,,,,,,,,
17,00:01:20,80.1,0,0,21,0,,,,,,,,,
18,00:01:25,85.1,0,0,10,0,,,,,,,,,
19,00:01:30,90.1,0,0,10,0,,,,,,,,,
20,00:01:35,95.1,0,0,10,0,,,,,,,,,
21,00:01:40,100.1,0,0,10,0,,,,,,,,,
22,00:01:45,105.1,0,0,10,0,,,,,,,,,
23,00:01:50,110.1,0,0,10,0,,,,,,,,,
24,00:01:55,115.1,0,0,10,0,,,,,,,,,
25,00:02:00,120.1,0,0,10,0,,,,,,,,,
26,00:02:05,125.1,0,0,10,0,,,,,,,,,
27,00:02:10,130.1,0,0,10,0,,,,,,,,,
28,00:02:15,135.1,0,0,10,0,,,,,,,,,
29,00:02:20,140.1,0,0,10,0,,,,,,,,,
30,00:02:25,145.1,0,10,10,0,,,,,,,,,
31,00:02:30,150.1,0,10,0,0,,,,,,,,,
32,00:02:35,155.1,0,10,0,0,,,,,,,,,
33,00:02:40,160.1,10,10,0,0,,,,,,,,,
34,00:02:45,165.1,21,10,0,0,,,,,,,,,
35,00:02:50,170.1,21,21,0,0,,,,,,,,,
36,00:02:55,175.1,73,37,0,0,,,,,,,,,
37,00:03:00,180.1,157,52,0,0,,,,,,,,,
38,00:03:05,185.1,167,94,0,0,,,,,,,,,
39,00:03:10,190.1,178,104,0,0,,,,,,,,,
40,00:03:15,195.1,178,104,0,0,,,,,,,,,
41,00:03:20,200.1,178,104,0,0,,,,,,,,,
42,00:03:25,205.1,178,104,0,0,,,,,,,,,
43,00:03:30,210.1,178,104,0,0,,,,,,,,,
44,00:03:35,215.1,178,104,0,0,,,,,,,,,
45,00:03:40,220.1,157,104,0,0,,,,,,,,,
46,00:03:45,225.1,157,104,0,0,,,,,,,,,
47,00:03:50,230.1,157,104,0,0,,,,,,,,,
48,00:03:55,235.1,146,104,0,0,,,,,,,,,
49,00:04:00,240.1,135,94,0,0,,,,,,,,,
50,00:04:05,245.1,136,84,0,0,,,,,,,,,
