ID,Time,Seconds Elapsed,One,Two,Three,Four,,,,c7,,,,,,
1,00:00:00,0.1,485,417,290,367,,,,"Scan Session:  ""All devices together - calibration #11""",,,,,,
2,00:00:05,5.1,485,417,290,367,,,,Start Time:  13/04/2022 14:58:44,,,,,,
3,00:00:10,10.1,485,417,290,367,,,,,,,,,,
4,00:00:15,15.1,485,417,290,367,,,,Assignment:,,,High Level Transducer #1 on channel 2,High Level Transducer #1 on channel 1,High Level Transducer #1 on channel 3,High Level Transducer #1 on channel 4
5,00:00:20,20.1,485,417,290,367,,,,Reduction Method:,,,Calibrated Values,Calibrated Values,Calibrated Values,Calibrated Values
6,00:00:25,25.1,485,417,290,367,,,,,,,,,,
7,00:00:30,30.1,485,417,290,367,,,,,,,,,,
8,00:00:35,35.1,485,417,290,367,,,,,,,,,,
9,00:00:40,40.1,485,417,290,367,,,,,,,,,,
10,00:00:45,45.1,485,417,290,367,,,,,,,,,,
11,00:00:50,50.1,485,417,290,367,,,,,,,,,,
12,00:00:55,55.1,485,417,290,367,,,,,,,,,,
13,00:01:00,60.1,485,417,290,367,,,,,,,,,,
14,00:01:05,65.1,485,417,290,367,,,,,,,,,,
15,00:01:10,70.1,485,417,290,367,,,,,,,,,,
16,00:01:15,75.1,485,417,290,367,,,,,,,,,,
17,00:01:20,80.1,485,417,290,367,,,,,,,,,,
18,00:01:25,85.1,485,417,290,367,,,,,,,,,,
19,00:01:30,90.1,485,417,290,367,,,,,,,,,,
20,00:01:35,95.1,485,417,290,367,,,,,,,,,,
21,00:01:40,100.1,485,417,290,367,,,,,,,,,,
22,00:01:45,105.1,485,417,290,367,,,,,,,,,,
23,00:01:50,110.1,485,417,290,367,,,,,,,,,,
24,00:01:55,115.1,485,417,290,367,,,,,,,,,,
25,00:02:00,120.1,485,417,290,367,,,,,,,,,,
26,00:02:05,125.1,485,417,290,367,,,,,,,,,,
27,00:02:10,130.1,485,417,290,367,,,,,,,,,,
28,00:02:15,135.1,485,417,290,367,,,,,,,,,,
29,00:02:20,140.1,485,417,290,367,,,,,,,,,,
30,00:02:25,145.1,485,417,290,367,,,,,,,,,,
31,00:02:30,150.1,485,417,290,367,,,,,,,,,,
32,00:02:35,155.1,485,417,290,367,,,,,,,,,,
33,00:02:40,160.1,485,417,290,367,,,,,,,,,,
34,00:02:45,165.1,485,417,290,367,,,,,,,,,,
35,00:02:50,170.1,485,417,290,367,,,,,,,,,,
36,00:02:55,175.1,485,417,290,377,,,,,,,,,,
37,00:03:00,180.1,485,417,290,377,,,,,,,,,,
38,00:03:05,185.1,485,417,290,377,,,,,,,,,,
39,00:03:10,190.1,485,417,290,377,,,,,,,,,,
40,00:03:15,195.1,485,417,290,377,,,,,,,,,,
41,00:03:20,200.1,485,417,290,377,,,,,,,,,,
42,00:03:25,205.1,485,417,290,377,,,,,,,,,,
43,00:03:30,210.1,485,417,290,377,,,,,,,,,,
44,00:03:35,215.1,485,417,290,377,,,,,,,,,,
45,00:03:40,220.1,485,417,290,377,,,,,,,,,,
46,00:03:45,225.1,485,417,290,377,,,,,,,,,,
47,00:03:50,230.1,485,417,290,377,,,,,,,,,,
48,00:03:55,235.1,485,417,290,377,,,,,,,,,,
49,00:04:00,240.1,485,417,290,377,,,,,,,,,,
50,00:04:05,245.1,485,417,290,377,,,,,,,,,,
51,00:04:10,250.1,485,417,290,377,,,,,,,,,,
52,00:04:15,255.1,485,417,290,377,,,,,,,,,,
53,00:04:20,260.1,485,417,290,377,,,,,,,,,,
54,00:04:25,265.1,485,417,290,377,,,,,,,,,,
55,00:04:30,270.1,485,417,290,377,,,,,,,,,,
56,00:04:35,275.1,485,417,290,377,,,,,,,,,,
57,00:04:40,280.1,485,417,290,377,,,,,,,,,,
58,00:04:45,285.1,485,417,290,377,,,,,,,,,,
59,00:04:50,290.1,485,417,290,377,,,,,,,,,,
60,00:04:55,295.1,485,417,290,377,,,,,,,,,,
61,00:05:00,300.1,485,417,290,377,,,,,,,,,,
62,00:05:05,305.1,485,417,290,377,,,,,,,,,,
63,00:05:10,310.1,485,417,290,377,,,,,,,,,,
64,00:05:15,315.1,485,417,290,377,,,,,,,,,,
65,00:05:20,320.1,485,417,290,377,,,,,,,,,,
66,00:05:25,325.1,485,417,290,377,,,,,,,,,,
67,00:05:30,330.1,485,417,290,377,,,,,,,,,,
68,00:05:35,335.1,485,417,290,377,,,,,,,,,,
69,00:05:40,340.1,485,417,290,377,,,,,,,,,,
70,00:05:45,345.1,485,417,290,377,,,,,,,,,,
71,00:05:50,350.1,485,417,290,377,,,,,,,,,,
72,00:05:55,355.1,485,417,290,377,,,,,,,,,,
73,00:06:00,360.1,485,417,290,377,,,,,,,,,,
74,00:06:05,365.1,485,417,290,377,,,,,,,,,,
75,00:06:10,370.1,485,417,290,377,,,,,,,,,,
76,00:06:15,375.1,485,417,290,377,,,,,,,,,,
77,00:06:20,380.1,485,417,290,377,,,,,,,,,,
78,00:06:25,385.1,485,417,290,377,,,,,,,,,,
79,00:06:30,390.1,485,417,290,377,,,,,,,,,,
80,00:06:35,395.1,485,417,290,377,,,,,,,,,,
81,00:06:40,400.1,485,417,290,377,,,,,,,,,,
82,00:06:45,405.1,485,417,290,377,,,,,,,,,,
83,00:06:50,410.1,485,417,290,377,,,,,,,,,,
84,00:06:55,415.1,485,417,290,377,,,,,,,,,,
85,00:07:00,420.1,485,417,290,377,,,,,,,,,,
86,00:07:05,425.1,485,417,290,377,,,,,,,,,,
87,00:07:10,430.1,485,417,290,377,,,,,,,,,,
88,00:07:15,435.1,485,417,290,377,,,,,,,,,,
89,00:07:20,440.1,485,417,290,377,,,,,,,,,,
90,00:07:25,445.1,485,417,290,377,,,,,,,,,,
91,00:07:30,450.1,485,417,290,377,,,,,,,,,,
92,00:07:35,455.1,485,417,290,377,,,,,,,,,,
93,00:07:40,460.1,485,417,290,377,,,,,,,,,,
94,00:07:45,465.1,485,417,290,377,,,,,,,,,,
95,00:07:50,470.1,485,417,290,377,,,,,,,,,,
96,00:07:55,475.1,485,417,290,377,,,,,,,,,,
97,00:08:00,480.1,485,417,290,377,,,,,,,,,,
98,00:08:05,485.1,485,417,290,377,,,,,,,,,,
99,00:08:10,490.1,485,417,290,377,,,,,,,,,,
100,00:08:15,495.1,485,417,290,377,,,,,,,,,,
101,00:08:20,500.1,485,417,290,377,,,,,,,,,,
102,00:08:25,505.1,485,417,290,377,,,,,,,,,,
103,00:08:30,510.1,485,417,290,377,,,,,,,,,,
104,00:08:35,515.1,485,406,290,377,,,,,,,,,,
105,00:08:40,520.1,485,406,290,377,,,,,,,,,,
106,00:08:45,525.1,485,406,290,377,,,,,,,,,,
107,00:08:50,530.1,485,406,290,377,,,,,,,,,,
108,00:08:55,535.1,485,406,290,377,,,,,,,,,,
109,00:09:00,540.1,485,406,290,377,,,,,,,,,,
110,00:09:05,545.1,485,406,290,377,,,,,,,,,,
111,00:09:10,550.1,485,406,290,377,,,,,,,,,,
112,00:09:15,555.1,474,406,290,377,,,,,,,,,,
113,00:09:20,560.1,474,406,290,377,,,,,,,,,,
114,00:09:25,565.1,474,406,290,377,,,,,,,,,,
115,00:09:30,570.1,474,406,290,377,,,,,,,,,,
