Time,eduroam-affiliate,eduroam-authenticated,eduroam-external,eduroam-staff,eduroam-student-other,eduroam-student-research-postgrad,eduroam-student-taught-postgrad,eduroam-student-undergrad,eduroam-visitor,All,Eduroam
13/04/2022 08:00,0,1,0,2,0,0,0,0,0,3,2.93
13/04/2022 08:05,0,1,0,2,0,0,0,0,0,3,2.93
13/04/2022 08:10,0,0,0,2,0,0,0,0,0,2,2.87
13/04/2022 08:15,0,1,0,2,0,0,0,0,0,3,2.87
13/04/2022 08:20,0,1,0,2,0,0,0,0,0,3,2.93
13/04/2022 08:25,0,1,0,2,0,0,0,0,0,3,2.93
13/04/2022 08:30,0,1,0,2,0,0,0,0,0,3,2.93
13/04/2022 08:35,0,1,0,5,0,0,0,0,0,6,3.13
13/04/2022 08:40,0,1,0,5,0,0,0,0,0,6,3.33
13/04/2022 08:45,0,1,0,5,0,0,0,0,0,6,3.53
13/04/2022 08:50,0,0,0,6,0,0,0,0,0,6,3.73
13/04/2022 08:55,0,1,0,6,0,0,0,0,0,7,4
13/04/2022 09:00,0,1,0,6,0,0,0,0,0,7,4.27
13/04/2022 09:05,0,1,0,6,0,0,0,0,0,7,4.53
13/04/2022 09:10,0,1,0,5,0,0,0,0,0,6,4.73
13/04/2022 09:15,0,1,0,5,0,0,0,0,0,6,4.93
13/04/2022 09:20,0,1,0,4,0,0,0,0,0,5,5.07
13/04/2022 09:25,0,1,0,4,0,0,0,0,0,5,5.27
13/04/2022 09:30,0,0,0,4,0,0,0,0,0,4,5.33
13/04/2022 09:35,0,0,0,4,0,0,0,0,0,4,5.4
13/04/2022 09:40,0,1,0,4,0,0,0,0,0,5,5.53
13/04/2022 09:45,0,1,0,4,0,0,0,0,0,5,5.67
13/04/2022 09:50,0,1,0,4,0,0,0,0,0,5,5.6
13/04/2022 09:55,0,1,0,4,0,0,0,0,0,5,5.53
13/04/2022 10:00,0,0,0,4,0,0,0,0,0,4,5.4
13/04/2022 10:05,0,1,0,3,0,0,0,0,0,4,5.27
13/04/2022 10:10,0,1,0,3,0,0,0,0,0,4,5.07
13/04/2022 10:15,0,0,0,2,0,0,0,0,0,2,4.73
13/04/2022 10:20,0,0,0,1,0,0,0,0,0,1,4.33
13/04/2022 10:25,0,0,0,1,0,0,0,0,0,1,4
13/04/2022 10:30,0,0,0,0,0,0,0,1,0,1,3.67
13/04/2022 10:35,0,0,0,0,0,0,0,2,0,2,3.47
13/04/2022 10:50,0,1,0,3,0,0,0,0,0,4,3.4
13/04/2022 10:55,0,1,0,3,0,0,0,0,0,4,3.4
13/04/2022 11:00,0,1,0,3,0,1,0,0,0,5,3.47
13/04/2022 11:05,0,1,0,3,0,1,0,0,0,5,3.47
13/04/2022 11:10,0,1,0,3,0,1,0,0,0,5,3.47
13/04/2022 11:15,0,0,0,3,0,1,0,1,0,5,3.47
13/04/2022 11:20,0,0,0,3,0,0,0,3,0,6,3.53
13/04/2022 11:25,0,1,0,3,0,0,0,2,0,6,3.67
13/04/2022 11:30,0,1,0,3,0,0,0,3,0,7,3.87
13/04/2022 11:35,0,1,0,3,0,0,0,3,0,7,4.07
13/04/2022 11:40,0,1,0,3,0,0,0,3,0,7,4.4
13/04/2022 11:45,0,0,0,3,0,0,0,3,0,6,4.73
13/04/2022 11:50,0,1,0,3,0,0,0,3,1,8,5.2
13/04/2022 11:55,0,1,0,2,0,0,0,3,1,7,5.6
13/04/2022 12:00,0,0,0,2,0,0,0,3,1,6,5.87
13/04/2022 12:05,0,1,0,3,0,0,0,3,1,8,6.13
13/04/2022 12:10,0,1,0,4,0,0,0,3,1,9,6.47
13/04/2022 12:15,0,1,0,4,0,1,0,7,1,14,7.07
