Time,Air_Quality_Quads_LimeTree,Bar,Quads LImetree Central Column,CentralColumn,Quads LImetree Salad Bar,SaladBar,Quads Limetree Hot Food Counter,HotCounter,Quads Limetree Pizza Counter,PizzaCounter,Mean,CO2Average
15/04/2022 00:00,365 ppm,365,366 ppm,366,358 ppm,358,363 ppm,363,363 ppm,363,363,363
15/04/2022 00:05,365 ppm,365,366 ppm,366,379 ppm,379,358 ppm,358,360 ppm,360,366,363
15/04/2022 00:10,365 ppm,365,362 ppm,362,367 ppm,367,359 ppm,359,368 ppm,368,364,363
15/04/2022 00:15,365 ppm,365,362 ppm,362,366 ppm,366,368 ppm,368,367 ppm,367,366,363
15/04/2022 00:20,365 ppm,365,359 ppm,359,364 ppm,364,359 ppm,359,364 ppm,364,362,363
15/04/2022 00:25,365 ppm,365,364 ppm,364,359 ppm,359,356 ppm,356,365 ppm,365,362,363
15/04/2022 00:30,365 ppm,365,363 ppm,363,370 ppm,370,356 ppm,356,362 ppm,362,363,363
15/04/2022 00:35,365 ppm,365,356 ppm,356,362 ppm,362,368 ppm,368,358 ppm,358,362,363
15/04/2022 00:40,365 ppm,365,361 ppm,361,364 ppm,364,359 ppm,359,360 ppm,360,362,363
15/04/2022 00:45,365 ppm,365,364 ppm,364,366 ppm,366,358 ppm,358,368 ppm,368,364,363
15/04/2022 00:50,365 ppm,365,361 ppm,361,360 ppm,360,359 ppm,359,357 ppm,357,360,363
15/04/2022 00:55,365 ppm,365,358 ppm,358,365 ppm,365,360 ppm,360,367 ppm,367,363,363
15/04/2022 01:00,365 ppm,365,365 ppm,365,360 ppm,360,357 ppm,357,360 ppm,360,361,363
15/04/2022 01:05,365 ppm,365,362 ppm,362,364 ppm,364,359 ppm,359,363 ppm,363,363,363
15/04/2022 01:10,365 ppm,365,360 ppm,360,360 ppm,360,358 ppm,358,367 ppm,367,362,363
15/04/2022 01:15,365 ppm,365,361 ppm,361,357 ppm,357,357 ppm,357,361 ppm,361,360,363
15/04/2022 01:20,365 ppm,365,357 ppm,357,364 ppm,364,361 ppm,361,366 ppm,366,363,362
15/04/2022 01:25,365 ppm,365,362 ppm,362,365 ppm,365,361 ppm,361,367 ppm,367,364,362
15/04/2022 01:30,365 ppm,365,360 ppm,360,371 ppm,371,360 ppm,360,365 ppm,365,364,362
15/04/2022 01:35,365 ppm,365,363 ppm,363,363 ppm,363,367 ppm,367,360 ppm,360,364,362
15/04/2022 01:40,365 ppm,365,358 ppm,358,360 ppm,360,361 ppm,361,361 ppm,361,361,362
15/04/2022 01:45,365 ppm,365,359 ppm,359,362 ppm,362,360 ppm,360,357 ppm,357,361,362
