Time,Bar,Central_Column,Salad_Bar,Hot_Counter,Pizza_Counter
12/04/2022 11:00,364 ppm,533 ppm,490 ppm,362 ppm,471 ppm
12/04/2022 11:02,367 ppm,502 ppm,415 ppm,369 ppm,443 ppm
12/04/2022 11:04,360 ppm,526 ppm,391 ppm,386 ppm,400 ppm
12/04/2022 11:06,360 ppm,477 ppm,370 ppm,393 ppm,427 ppm
12/04/2022 11:08,362 ppm,445 ppm,381 ppm,363 ppm,467 ppm
12/04/2022 11:10,359 ppm,418 ppm,362 ppm,363 ppm,380 ppm
12/04/2022 11:12,363 ppm,425 ppm,366 ppm,367 ppm,360 ppm
12/04/2022 11:14,364 ppm,369 ppm,364 ppm,362 ppm,364 ppm
12/04/2022 11:16,364 ppm,361 ppm,368 ppm,365 ppm,358 ppm
12/04/2022 11:18,361 ppm,358 ppm,361 ppm,365 ppm,359 ppm
12/04/2022 11:20,364 ppm,358 ppm,358 ppm,363 ppm,357 ppm
12/04/2022 11:22,356 ppm,366 ppm,359 ppm,363 ppm,359 ppm
12/04/2022 11:24,357 ppm,357 ppm,364 ppm,361 ppm,362 ppm
12/04/2022 11:26,363 ppm,362 ppm,364 ppm,360 ppm,359 ppm
12/04/2022 11:28,365 ppm,941 ppm,366 ppm,365 ppm,363 ppm
12/04/2022 11:30,360 ppm,938 ppm,642 ppm,364 ppm,400 ppm
12/04/2022 11:32,359 ppm,803 ppm,491 ppm,361 ppm,366 ppm
12/04/2022 11:34,413 ppm,642 ppm,445 ppm,358 ppm,373 ppm
12/04/2022 11:36,479 ppm,473 ppm,506 ppm,361 ppm,427 ppm
12/04/2022 11:38,450 ppm,426 ppm,549 ppm,367 ppm,533 ppm
12/04/2022 11:40,413 ppm,386 ppm,519 ppm,363 ppm,608 ppm
12/04/2022 11:42,361 ppm,358 ppm,547 ppm,366 ppm,433 ppm
12/04/2022 11:44,359 ppm,359 ppm,567 ppm,366 ppm,590 ppm
12/04/2022 11:46,363 ppm,368 ppm,635 ppm,363 ppm,431 ppm
12/04/2022 11:48,375 ppm,369 ppm,599 ppm,363 ppm,566 ppm
12/04/2022 11:50,359 ppm,365 ppm,601 ppm,367 ppm,491 ppm
12/04/2022 11:52,367 ppm,361 ppm,643 ppm,368 ppm,573 ppm
12/04/2022 11:54,359 ppm,366 ppm,700 ppm,358 ppm,505 ppm
12/04/2022 11:56,361 ppm,374 ppm,701 ppm,360 ppm,369 ppm
12/04/2022 11:58,361 ppm,417 ppm,692 ppm,366 ppm,365 ppm
12/04/2022 12:00,365 ppm,406 ppm,687 ppm,362 ppm,375 ppm
12/04/2022 12:02,366 ppm,390 ppm,619 ppm,360 ppm,367 ppm
12/04/2022 12:04,360 ppm,421 ppm,608 ppm,361 ppm,432 ppm
12/04/2022 12:06,357 ppm,359 ppm,611 ppm,356 ppm,468 ppm
12/04/2022 12:08,362 ppm,365 ppm,610 ppm,368 ppm,364 ppm
12/04/2022 12:10,367 ppm,357 ppm,594 ppm,360 ppm,360 ppm
12/04/2022 12:12,366 ppm,358 ppm,576 ppm,365 ppm,373 ppm
12/04/2022 12:14,362 ppm,364 ppm,533 ppm,365 ppm,413 ppm
12/04/2022 12:16,366 ppm,418 ppm,497 ppm,361 ppm,530 ppm
12/04/2022 12:18,362 ppm,421 ppm,528 ppm,404 ppm,480 ppm
12/04/2022 12:20,360 ppm,373 ppm,639 ppm,477 ppm,685 ppm
12/04/2022 12:22,361 ppm,365 ppm,755 ppm,458 ppm,492 ppm
12/04/2022 12:24,360 ppm,358 ppm,705 ppm,458 ppm,359 ppm
12/04/2022 12:26,359 ppm,408 ppm,675 ppm,365 ppm,358 ppm
12/04/2022 12:28,358 ppm,428 ppm,576 ppm,365 ppm,429 ppm
12/04/2022 12:30,359 ppm,480 ppm,549 ppm,362 ppm,565 ppm
12/04/2022 12:32,357 ppm,425 ppm,553 ppm,365 ppm,546 ppm
12/04/2022 12:34,366 ppm,598 ppm,461 ppm,360 ppm,543 ppm
12/04/2022 12:36,359 ppm,684 ppm,740 ppm,367 ppm,653 ppm
12/04/2022 12:38,357 ppm,628 ppm,728 ppm,364 ppm,541 ppm
12/04/2022 12:40,364 ppm,525 ppm,654 ppm,365 ppm,420 ppm
12/04/2022 12:42,364 ppm,407 ppm,632 ppm,358 ppm,361 ppm
12/04/2022 12:44,363 ppm,361 ppm,601 ppm,366 ppm,395 ppm
12/04/2022 12:46,357 ppm,366 ppm,543 ppm,366 ppm,431 ppm
12/04/2022 12:48,358 ppm,365 ppm,504 ppm,361 ppm,438 ppm
12/04/2022 12:50,361 ppm,364 ppm,464 ppm,361 ppm,366 ppm
12/04/2022 12:52,359 ppm,360 ppm,387 ppm,362 ppm,367 ppm
12/04/2022 12:54,365 ppm,368 ppm,370 ppm,365 ppm,378 ppm
12/04/2022 12:56,360 ppm,364 ppm,368 ppm,360 ppm,383 ppm
12/04/2022 12:58,360 ppm,357 ppm,372 ppm,362 ppm,363 ppm
12/04/2022 13:00,365 ppm,363 ppm,473 ppm,359 ppm,359 ppm
12/04/2022 13:02,367 ppm,357 ppm,436 ppm,364 ppm,362 ppm
12/04/2022 13:04,360 ppm,359 ppm,369 ppm,359 ppm,573 ppm
12/04/2022 13:06,359 ppm,394 ppm,361 ppm,361 ppm,675 ppm
12/04/2022 13:08,365 ppm,371 ppm,359 ppm,362 ppm,696 ppm
