Time,eduroam-affiliate,eduroam-authenticated,eduroam-external,eduroam-staff,eduroam-student-other,eduroam-student-research-postgrad,eduroam-student-taught-postgrad,eduroam-student-undergrad,eduroam-visitor,All,Eduroam
12/04/2022 08:00,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 08:05,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 08:10,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 08:15,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 08:20,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 08:25,0,0,0,3,0,0,0,1,0,4.00,
12/04/2022 08:30,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 08:35,0,1,0,2,0,0,0,1,0,4.00,
12/04/2022 08:40,0,1,0,2,0,0,0,1,0,4.00,
12/04/2022 08:45,0,1,0,2,0,0,0,1,0,4.00,
12/04/2022 08:50,0,0,0,2,0,0,0,1,0,3.00,
12/04/2022 08:55,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 09:00,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 09:05,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 09:10,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 09:15,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 09:20,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 09:25,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 09:30,0,1,0,3,0,0,0,2,0,6.00,
12/04/2022 09:35,0,1,0,3,0,0,0,2,0,6.00,
12/04/2022 09:40,0,1,0,3,0,0,0,2,0,6.00,
12/04/2022 09:45,0,1,0,3,0,0,0,2,0,6.00,
12/04/2022 09:50,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 09:55,0,1,0,2,0,0,0,1,0,4.00,
12/04/2022 10:00,0,1,0,3,0,0,0,1,0,5.00,
12/04/2022 10:05,0,1,0,6,0,0,0,1,0,8.00,
12/04/2022 10:10,0,0,0,5,0,0,0,1,0,6.00,
12/04/2022 10:15,0,1,0,6,0,0,0,1,0,8.00,
12/04/2022 10:20,0,1,0,6,0,0,0,1,0,8.00,
12/04/2022 10:25,0,1,0,7,0,0,0,1,0,9.00,
12/04/2022 10:30,0,1,0,6,0,0,0,1,0,8.00,
12/04/2022 10:35,0,1,0,6,0,0,0,1,0,8.00,
12/04/2022 10:40,0,1,0,6,0,0,0,1,0,8.00,
12/04/2022 10:45,0,1,0,6,0,0,0,1,0,8.00,
12/04/2022 10:50,0,1,0,6,0,0,0,1,0,8.00,
12/04/2022 10:55,0,1,0,7,0,0,0,1,0,9.00,
12/04/2022 11:00,0,1,0,6,0,0,0,1,0,8.00,7.33
12/04/2022 11:05,0,1,0,7,0,0,0,1,0,9.00,7.60
12/04/2022 11:10,0,1,0,7,0,0,0,1,0,9.00,7.93
12/04/2022 11:15,0,0,0,5,0,0,0,1,0,6.00,8.00
12/04/2022 11:20,0,1,0,5,0,0,0,1,0,7.00,7.93
12/04/2022 11:25,0,1,0,5,0,0,0,1,0,7.00,8.00
12/04/2022 11:30,0,1,0,5,0,0,0,1,0,7.00,7.93
12/04/2022 11:35,0,1,0,6,0,0,0,1,0,8.00,7.93
