Time,Quads Limetree Bar,Bar,Quads LImetree Central Column,CentralColumn,Quads LImetree Salad Bar,SaladBar,Quads Limetree Hot Food Counter,HotCounter,Quads Limetree Pizza Counter,PizzaCounter,Mean,MovingAve5,MovingAve20,CO2Average,MovingAve500
12/04/2022 11:00,364 ppm,364,533 ppm,533,490 ppm,490,362 ppm,362,471 ppm,471,444,#N/A,#N/A,#N/A,#N/A
12/04/2022 11:02,367 ppm,367,502 ppm,502,415 ppm,415,369 ppm,369,443 ppm,443,419,#N/A,#N/A,#N/A,#N/A
12/04/2022 11:04,360 ppm,360,526 ppm,526,391 ppm,391,386 ppm,386,400 ppm,400,413,#N/A,#N/A,#N/A,#N/A
12/04/2022 11:06,360 ppm,360,477 ppm,477,370 ppm,370,393 ppm,393,427 ppm,427,405,#N/A,#N/A,#N/A,#N/A
12/04/2022 11:08,362 ppm,362,445 ppm,445,381 ppm,381,363 ppm,363,467 ppm,467,404,417,#N/A,#N/A,#N/A
12/04/2022 11:10,359 ppm,359,418 ppm,418,362 ppm,362,363 ppm,363,380 ppm,380,376,403,#N/A,#N/A,#N/A
12/04/2022 11:12,363 ppm,363,425 ppm,425,366 ppm,366,367 ppm,367,360 ppm,360,376,395,#N/A,#N/A,#N/A
12/04/2022 11:14,364 ppm,364,369 ppm,369,364 ppm,364,362 ppm,362,364 ppm,364,365,385,#N/A,#N/A,#N/A
12/04/2022 11:16,364 ppm,364,361 ppm,361,368 ppm,368,365 ppm,365,358 ppm,358,363,377,#N/A,#N/A,#N/A
12/04/2022 11:18,361 ppm,361,358 ppm,358,361 ppm,361,365 ppm,365,359 ppm,359,361,368,#N/A,#N/A,#N/A
12/04/2022 11:20,364 ppm,364,358 ppm,358,358 ppm,358,363 ppm,363,357 ppm,357,360,365,#N/A,#N/A,#N/A
12/04/2022 11:22,356 ppm,356,366 ppm,366,359 ppm,359,363 ppm,363,359 ppm,359,361,362,#N/A,#N/A,#N/A
12/04/2022 11:24,357 ppm,357,357 ppm,357,364 ppm,364,361 ppm,361,362 ppm,362,360,361,#N/A,#N/A,#N/A
12/04/2022 11:26,363 ppm,363,362 ppm,362,364 ppm,364,360 ppm,360,359 ppm,359,362,361,#N/A,#N/A,#N/A
12/04/2022 11:28,365 ppm,365,941 ppm,941,366 ppm,366,365 ppm,365,363 ppm,363,480,384,#N/A,#N/A,#N/A
12/04/2022 11:30,360 ppm,360,938 ppm,938,642 ppm,642,364 ppm,364,400 ppm,400,541,421,#N/A,#N/A,#N/A
12/04/2022 11:32,359 ppm,359,803 ppm,803,491 ppm,491,361 ppm,361,366 ppm,366,476,444,#N/A,#N/A,#N/A
12/04/2022 11:34,413 ppm,413,642 ppm,642,445 ppm,445,358 ppm,358,373 ppm,373,446,461,#N/A,#N/A,#N/A
12/04/2022 11:36,479 ppm,479,473 ppm,473,506 ppm,506,361 ppm,361,427 ppm,427,449,478,#N/A,#N/A,#N/A
12/04/2022 11:38,450 ppm,450,426 ppm,426,549 ppm,549,367 ppm,367,533 ppm,533,465,475,411,#N/A,#N/A
12/04/2022 11:40,413 ppm,413,386 ppm,386,519 ppm,519,363 ppm,363,608 ppm,608,458,459,412,#N/A,#N/A
12/04/2022 11:42,361 ppm,361,358 ppm,358,547 ppm,547,366 ppm,366,433 ppm,433,413,446,412,#N/A,#N/A
12/04/2022 11:44,359 ppm,359,359 ppm,359,567 ppm,567,366 ppm,366,590 ppm,590,448,447,413,#N/A,#N/A
12/04/2022 11:46,363 ppm,363,368 ppm,368,635 ppm,635,363 ppm,363,431 ppm,431,432,443,415,#N/A,#N/A
12/04/2022 11:48,375 ppm,375,369 ppm,369,599 ppm,599,363 ppm,363,566 ppm,566,454,441,417,#N/A,#N/A
12/04/2022 11:50,359 ppm,359,365 ppm,365,601 ppm,601,367 ppm,367,491 ppm,491,437,437,420,#N/A,#N/A
12/04/2022 11:52,367 ppm,367,361 ppm,361,643 ppm,643,368 ppm,368,573 ppm,573,462,447,425,#N/A,#N/A
12/04/2022 11:54,359 ppm,359,366 ppm,366,700 ppm,700,358 ppm,358,505 ppm,505,458,449,429,#N/A,#N/A
12/04/2022 11:56,361 ppm,361,374 ppm,374,701 ppm,701,360 ppm,360,369 ppm,369,433,449,433,#N/A,#N/A
12/04/2022 11:58,361 ppm,361,417 ppm,417,692 ppm,692,366 ppm,366,365 ppm,365,440,446,437,#N/A,#N/A
12/04/2022 12:00,365 ppm,365,406 ppm,406,687 ppm,687,362 ppm,362,375 ppm,375,439,446,441,#N/A,#N/A
12/04/2022 12:02,366 ppm,366,390 ppm,390,619 ppm,619,360 ppm,360,367 ppm,367,420,438,444,#N/A,#N/A
12/04/2022 12:04,360 ppm,360,421 ppm,421,608 ppm,608,361 ppm,361,432 ppm,432,436,434,447,#N/A,#N/A
12/04/2022 12:06,357 ppm,357,359 ppm,359,611 ppm,611,356 ppm,356,468 ppm,468,430,433,451,#N/A,#N/A
12/04/2022 12:08,362 ppm,362,365 ppm,365,610 ppm,610,368 ppm,368,364 ppm,364,414,428,448,#N/A,#N/A
12/04/2022 12:10,367 ppm,367,357 ppm,357,594 ppm,594,360 ppm,360,360 ppm,360,408,422,441,#N/A,#N/A
12/04/2022 12:12,366 ppm,366,358 ppm,358,576 ppm,576,365 ppm,365,373 ppm,373,408,419,438,#N/A,#N/A
12/04/2022 12:14,362 ppm,362,364 ppm,364,533 ppm,533,365 ppm,365,413 ppm,413,407,413,436,#N/A,#N/A
12/04/2022 12:16,366 ppm,366,418 ppm,418,497 ppm,497,361 ppm,361,530 ppm,530,434,414,435,#N/A,#N/A
12/04/2022 12:18,362 ppm,362,421 ppm,421,528 ppm,528,404 ppm,404,480 ppm,480,439,419,434,#N/A,#N/A
12/04/2022 12:20,360 ppm,360,373 ppm,373,639 ppm,639,477 ppm,477,685 ppm,685,507,439,436,#N/A,#N/A
12/04/2022 12:22,361 ppm,361,365 ppm,365,755 ppm,755,458 ppm,458,492 ppm,492,486,455,440,#N/A,#N/A
12/04/2022 12:24,360 ppm,360,358 ppm,358,705 ppm,705,458 ppm,458,359 ppm,359,448,463,440,#N/A,#N/A
12/04/2022 12:26,359 ppm,359,408 ppm,408,675 ppm,675,365 ppm,365,358 ppm,358,433,463,440,#N/A,#N/A
12/04/2022 12:28,358 ppm,358,428 ppm,428,576 ppm,576,365 ppm,365,429 ppm,429,431,461,439,#N/A,#N/A
12/04/2022 12:30,359 ppm,359,480 ppm,480,549 ppm,549,362 ppm,362,565 ppm,565,463,452,440,#N/A,#N/A
12/04/2022 12:32,357 ppm,357,425 ppm,425,553 ppm,553,365 ppm,365,546 ppm,546,449,445,439,#N/A,#N/A
12/04/2022 12:34,366 ppm,366,598 ppm,598,461 ppm,461,360 ppm,360,543 ppm,543,466,448,440,#N/A,#N/A
12/04/2022 12:36,359 ppm,359,684 ppm,684,740 ppm,740,367 ppm,367,653 ppm,653,561,474,446,#N/A,#N/A
12/04/2022 12:38,357 ppm,357,628 ppm,628,728 ppm,728,364 ppm,364,541 ppm,541,524,492,450,433,#N/A
12/04/2022 12:40,364 ppm,364,525 ppm,525,654 ppm,654,365 ppm,365,420 ppm,420,466,493,451,434,#N/A
12/04/2022 12:42,364 ppm,364,407 ppm,407,632 ppm,632,358 ppm,358,361 ppm,361,424,488,452,434,#N/A
12/04/2022 12:44,363 ppm,363,361 ppm,361,601 ppm,601,366 ppm,366,395 ppm,395,417,478,451,434,#N/A
12/04/2022 12:46,357 ppm,357,366 ppm,366,543 ppm,543,366 ppm,366,431 ppm,431,413,449,450,434,#N/A
12/04/2022 12:48,358 ppm,358,365 ppm,365,504 ppm,504,361 ppm,361,438 ppm,438,405,425,449,434,#N/A
12/04/2022 12:50,361 ppm,361,364 ppm,364,464 ppm,464,361 ppm,361,366 ppm,366,383,409,448,434,#N/A
12/04/2022 12:52,359 ppm,359,360 ppm,360,387 ppm,387,362 ppm,362,367 ppm,367,367,397,446,434,#N/A
12/04/2022 12:54,365 ppm,365,368 ppm,368,370 ppm,370,365 ppm,365,378 ppm,378,369,387,444,434,#N/A
12/04/2022 12:56,360 ppm,360,364 ppm,364,368 ppm,368,360 ppm,360,383 ppm,383,367,378,441,434,#N/A
12/04/2022 12:58,360 ppm,360,357 ppm,357,372 ppm,372,362 ppm,362,363 ppm,363,363,370,437,434,#N/A
12/04/2022 13:00,365 ppm,365,363 ppm,363,473 ppm,473,359 ppm,359,359 ppm,359,384,370,431,435,#N/A
12/04/2022 13:02,367 ppm,367,357 ppm,357,436 ppm,436,364 ppm,364,362 ppm,362,377,372,425,435,#N/A
12/04/2022 13:04,360 ppm,360,359 ppm,359,369 ppm,369,359 ppm,359,573 ppm,573,404,379,423,436,#N/A
12/04/2022 13:06,359 ppm,359,394 ppm,394,361 ppm,361,361 ppm,361,675 ppm,675,430,392,423,437,#N/A
12/04/2022 13:08,365 ppm,365,371 ppm,371,359 ppm,359,362 ppm,362,696 ppm,696,431,405,423,436,#N/A
12/04/2022 13:10,364 ppm,364,359 ppm,359,359 ppm,359,365 ppm,365,772 ppm,772,444,417,422,434,#N/A
12/04/2022 13:12,368 ppm,368,373 ppm,373,356 ppm,356,365 ppm,365,753 ppm,753,443,430,422,434,#N/A
12/04/2022 13:14,361 ppm,361,362 ppm,362,417 ppm,417,363 ppm,363,816 ppm,816,464,442,422,434,#N/A
